Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
15	13:09:32.343	00:00:00.014	0	670,6194	356,7529	0,6315698	0,3191178	654,0592	3,495668	0	665,5805	332,059	0,3426602	0,3305361	655,5176	3,493097	0	0	668	344						No media	0	1280	1024	0	0	668	349	732	0	Content		668	344	14634	2608077709	
35	13:09:32.363	00:00:00.034	1	670,4529	376,1281	0,6316987	0,3190402	654,0592	3,477142	0	668,7041	355,2973	0,3427603	0,3304755	655,5176	3,507613	0	0	670	366						No media	0	1280	1024	0	0	668	349	732	0	Content		670	366	34635	2608097710	
54	13:09:32.382	00:00:00.054	2	665,643	361,2397	0,6318125	0,3189309	654,0592	3,511153	0	682,7108	329,0477	0,3429204	0,3303908	655,5176	3,513947	0	0	674	345						No media	0	1280	1024	0	0	668	349	732	0	Content		674	345	54499	2608117574	
75	13:09:32.403	00:00:00.074	3	662,5054	362,1151	0,6319237	0,3188316	654,0592	3,495423	0	681,7371	337,5979	0,3430113	0,3302949	655,5176	3,487259	0	0	672	350						No media	0	1280	1024	0	0	668	349	732	0	Content		672	350	74512	2608137587	
94	13:09:32.422	00:00:00.094	4	667,5237	358,1278	0,6321471	0,318823	654,0592	3,480134	0	671,3453	351,9734	0,343158	0,3302771	655,5176	3,48145	0	0	669	355						No media	0	1280	1024	0	0	668	349	732	0	Content		669	355	94363	2608157438	
114	13:09:32.442	00:00:00.114	5	663,653	361,5102	0,6323764	0,3189896	652,5015	3,48542	0	676,8538	343,0828	0,3433943	0,3303155	654,4174	3,470005	0	0	670	352						No media	0	1280	1024	0	0	668	349	732	0	Content		670	352	114399	2608177474	
134	13:09:32.462	00:00:00.134	6	665,4922	360,61	0,6325254	0,3193931	652,5015	3,529299	0	673,5709	370,5729	0,3435874	0,330484	654,4174	3,514651	0	0	670	366						No media	0	1280	1024	0	0	668	349	732	0	Content		670	366	134231	2608197306	
154	13:09:32.482	00:00:00.154	7	657,4944	357,5486	0,6326112	0,3197742	652,5015	3,484381	0	686,78	335,4161	0,3437175	0,3310525	654,4174	3,524477	0	0	672	346						No media	0	1280	1024	0	0	668	349	732	0	Content		672	346	154119	2608217194	
174	13:09:32.502	00:00:00.174	8	665,9265	373,8006	0,6327006	0,3199423	652,5015	3,498445	0	679,0264	355,439	0,3437683	0,3313067	654,4174	3,533239	0	0	672	365						No media	0	1280	1024	0	0	668	349	732	0	Content		672	365	174127	2608237202	
194	13:09:32.522	00:00:00.193	9	659,6367	363,0236	0,6327488	0,320207	652,5015	3,553432	0	671,3795	351,7628	0,3437976	0,3313206	654,4174	3,581422	0	0	666	357						No media	0	1280	1024	0	0	668	349	732	0	Content		666	357	193973	2608257048	
214	13:09:32.542	00:00:00.214	10	663,2757	362,9844	0,6327834	0,3201177	653,7031	3,54279	0	672,5046	349,5184	0,3438392	0,3312715	653,6732	3,590142	0	0	668	356						No media	0	1280	1024	0	0	668	349	732	0	Content		668	356	214028	2608277103	
234	13:09:32.562	00:00:00.233	11	658,27	365,5653	0,6327161	0,3197963	653,7031	3,537486	0	677,506	345,0037	0,3438096	0,3309556	653,6732	3,588661	0	0	668	355						No media	0	1280	1024	0	0	668	349	732	0	Content		668	355	233987	2608297062	
254	13:09:32.582	00:00:00.253	12	656,7408	333,5747	0,6326808	0,3196102	653,7031	3,546921	0	677,9651	364,3398	0,3437752	0,3304022	653,6732	3,581266	0	0	667	349						No media	0	1280	1024	0	0	668	349	732	0	Content		667	349	253871	2608316946	
274	13:09:32.602	00:00:00.273	13	660,467	347,4265	0,6325814	0,3193799	653,7031	3,571662	0	676,533	341,8308	0,3437238	0,330328	653,6732	3,576436	0	0	668	345						No media	0	1280	1024	0	0	668	349	732	0	Content		668	345	273734	2608336809	
287	13:09:32.615																				ImageStart	8	0	0	_1.png																	
