Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
17	12:50:24.313	00:00:00.017	0	862,6638	312,3765	0,6508285	0,5781626	789,1102	4,017477	0	822,9214	262,4709	0,428921	0,5709968	787,2458	4,340063	0	0	843	287						No media	0	1280	1024	0	0	825	303	376	0	Content		843	287	17419	1927706607	
37	12:50:24.333	00:00:00.037	1	814,9364	350,0161	0,6507831	0,5793562	789,1102	3,930147	0	862,6442	274,5225	0,4288766	0,5722339	787,2458	4,293422	0	0	839	312						No media	0	1280	1024	0	0	825	303	376	0	Content		839	312	37415	1927726603	
57	12:50:24.353	00:00:00.057	2	780,5762	375,6513	0,6507837	0,5803801	789,1102	3,985358	0	869,3564	225,6616	0,4288476	0,5732619	787,2458	4,353184	0	0	825	301						No media	0	1280	1024	0	0	825	303	376	0	Content		825	301	57275	1927746463	
77	12:50:24.373	00:00:00.077	3	843,6084	238,7329	0,6507866	0,5808237	789,1102	4,058531	0	880,6341	276,7382	0,4288769	0,5735395	787,2458	4,339492	0	0	862	258						No media	0	1280	1024	0	0	825	303	376	0	Content		862	258	77295	1927766483	
97	12:50:24.393	00:00:00.097	4	838,9374	336,8889	0,6507959	0,5803209	789,1102	4,047381	0	838,3684	306,7123	0,4289052	0,5730482	787,2458	4,413002	0	0	839	322						No media	0	1280	1024	0	0	825	303	376	0	Content		839	322	97146	1927786334	
117	12:50:24.413	00:00:00.117	5	829,6618	316,0132	0,6507939	0,5792059	788,5945	4,033669	0	842,4725	297,5299	0,4289284	0,5717936	787,3808	4,429114	0	0	836	307						No media	0	1280	1024	0	0	825	303	376	0	Content		836	307	117177	1927806365	
137	12:50:24.433	00:00:00.137	6	791,4346	292,2271	0,6507566	0,5780295	788,5945	4,090439	0	856,0129	311,951	0,4289029	0,5705526	787,3808	4,348731	0	0	824	302						No media	0	1280	1024	0	0	825	303	376	0	Content		824	302	137012	1927826200	
157	12:50:24.453	00:00:00.156	7	807,3701	322,7655	0,6507189	0,5774125	788,5945	3,947856	0	833,356	338,428	0,428901	0,5699708	787,3808	4,361597	0	0	820	331						No media	0	1280	1024	0	0	825	303	376	0	Content		820	331	156900	1927846088	
177	12:50:24.473	00:00:00.176	8	775,9222	374,8065	0,6505956	0,5776311	788,5945	4,021359	0	832,5245	330,4154	0,4288634	0,5701856	787,3808	4,312844	0	0	804	353						No media	0	1280	1024	0	0	825	303	376	0	Content		804	353	176902	1927866090	
197	12:50:24.493	00:00:00.196	9	780,524	343,0954	0,6505034	0,5785323	788,5945	4,19106	0	842,8271	282,2001	0,4288207	0,5710591	787,3808	4,332812	0	0	812	313						No media	0	1280	1024	0	0	825	303	376	0	Content		812	313	196772	1927885960	
