Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
18	13:11:14.549	00:00:00.017	0	529,9	468,9341	0,6673668	0,4147823	672,6973	2,820314	0	537,2793	463,0609	0,4039037	0,4109789	664,5582	3,031857	0	0	534	466						No media	0	1280	1024	0	0	527	469	78	0	Content		534	466	17863	3177938009	
38	13:11:14.569	00:00:00.037	1	523,9619	470,9542	0,6673048	0,4151649	672,6973	2,801232	0	529,2115	477,472	0,4038117	0,4115485	664,5582	3,116053	0	0	527	474						No media	0	1280	1024	0	0	527	469	78	0	Content		527	474	37745	3177957891	
58	13:11:14.589	00:00:00.057	2	544,6534	455,0335	0,6671641	0,4166583	672,6973	2,815254	0	534,5322	485,5516	0,4037294	0,4129207	664,5582	3,130339	0	0	540	470						No media	0	1280	1024	0	0	527	469	78	0	Content		540	470	57729	3177977875	
78	13:11:14.609	00:00:00.077	3	682,9069	487,4995	0,6659415	0,4183083	672,6973	2,82217	0	680,8929	511,1543	0,4026253	0,414702	664,5582	3,165467	0	1	682	499						No media	0	1280	1024	0	0	714	476	459	0	Content		682	499	77606	3177997752	
97	13:11:14.628	00:00:00.097	4	699,6259	463,5078	0,6656571	0,4197654	672,6973	2,885249	0	715,0587	482,6957	0,4024957	0,4160716	664,5582	3,124595	0	1	707	473						No media	0	1280	1024	0	0	714	476	459	0	Content		707	473	97484	3178017630	
117	13:11:14.648	00:00:00.117	5	712,6386	465,3689	0,6661796	0,4207418	671,6231	2,896511	0	756,47	489,49	0,4029644	0,4169105	666,1969	3,148717	0	1	735	477						No media	0	1280	1024	0	0	714	476	459	0	Content		735	477	117491	3178037637	
137	13:11:14.668	00:00:00.137	6	697,7117	476,6236	0,6666539	0,4202228	671,6231	2,78421	0	718,2661	454,4604	0,4033895	0,416453	666,1969	3,123671	0	1	708	466						No media	0	1280	1024	0	0	714	476	459	0	Content		708	466	137378	3178057524	
157	13:11:14.688	00:00:00.157	7	715,4609	484,5924	0,6670553	0,4186833	671,6231	2,801459	0	726,3767	450,2547	0,4037564	0,4148523	666,1969	3,144436	0	1	721	467						No media	0	1280	1024	0	0	714	476	459	0	Content		721	467	157348	3178077494	
177	13:11:14.708	00:00:00.177	8	709,4156	454,3708	0,667069	0,4164107	671,6231	2,818534	0	715,993	465,1054	0,4037341	0,4128042	666,1969	3,125921	0	1	713	460						No media	0	1280	1024	0	0	714	476	459	0	Content		713	460	177231	3178097377	
197	13:11:14.728	00:00:00.197	9	705,5994	467,2903	0,6666645	0,4142672	671,6231	2,769559	0	731,6147	456,9892	0,4033045	0,4109769	666,1969	3,108878	0	1	719	462						No media	0	1280	1024	0	0	714	476	459	0	Content		719	462	197243	3178117389	
217	13:11:14.748	00:00:00.217	10	709,4022	463,2843	0,6659119	0,4132938	671,6299	2,781258	0	727,3217	459,2601	0,4024881	0,4101524	665,9601	3,112329	0	1	718	461						No media	0	1280	1024	0	0	714	476	459	0	Content		718	461	217090	3178137236	
237	13:11:14.768	00:00:00.237	11	731,2457	480,7488	0,6650541	0,4135886	671,6299	2,835895	0	705,0099	479,3425	0,4015763	0,4105545	665,9601	3,083709	0	1	718	480						No media	0	1280	1024	0	0	714	476	459	0	Content		718	480	237125	3178157271	
257	13:11:14.788	00:00:00.256	12	709,7899	480,548	0,6644807	0,4147773	671,6299	2,786503	0	720,0688	475,6367	0,4009866	0,4119017	665,9601	3,135495	0	1	715	478						No media	0	1280	1024	0	0	714	476	459	0	Content		715	478	256980	3178177126	
277	13:11:14.808	00:00:00.276	13	704,6718	471,0701	0,6645421	0,4165872	671,6299	2,781448	0	720,7844	468,6616	0,4010435	0,4138013	665,9601	3,12838	0	1	713	470						No media	0	1280	1024	0	0	714	476	459	0	Content		713	470	276980	3178197126	
297	13:11:14.828	00:00:00.296	14	-1280	-1024	0,4016627	0,4156924	-1	-1	4	707,0591	465,2249	0,4016627	0,4156924	665,9601	3,09361	0	1	707	465						No media	0	1280	1024	0	0	714	476	459	0	Content		707	465	296839	3178216985	
317	13:11:14.848	00:00:00.316	15	-1280	-1024	0,6665072	0,4199041	-1	-1	4	712,1813	464,6794	0,4029441	0,4169333	664,5246	3,112053	0	1	712	465						No media	0	1280	1024	0	0	714	476	459	0	Content		712	465	316827	3178236973	
321	13:11:14.852																				ImageStart	8	0	0	eyetracking_anweisung_ameliekirchmeyer.png																	
337	13:11:14.868	00:00:00.336	16	711,7132	471,5172	0,6682558	0,4200535	670,2028	2,782119	0	713,211	476,225	0,404665	0,416884	664,5246	3,135038	0	1	712	474						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		712	474	336691	3178256837	
357	13:11:14.888	00:00:00.356	17	718,184	477,2751	0,6697175	0,4194157	670,2028	2,797083	0	728,0908	474,8795	0,4061078	0,4158319	664,5246	3,196009	0	1	723	476						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		723	476	356722	3178276868	
377	13:11:14.908	00:00:00.376	18	719,245	507,7993	0,6706825	0,4179535	670,2028	2,78886	0	723,2637	472,7485	0,4069788	0,4141674	664,5246	3,189359	0	1	721	490						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		721	490	376562	3178296708	
396	13:11:14.927	00:00:00.396	19	710,068	493,8583	0,6705838	0,4169884	670,2028	2,799124	0	715,8311	478,4293	0,4067985	0,4130892	664,5246	3,210052	0	1	713	486						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		713	486	396459	3178316605	
416	13:11:14.947	00:00:00.416	20	711,4105	510,2025	0,6693615	0,4166741	668,1717	2,788869	0	720,5394	482,3974	0,4055383	0,4128766	662,1928	3,201622	0	1	716	496						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		716	496	416424	3178336570	
436	13:11:14.967	00:00:00.436	21	703,7411	475,6171	0,6678017	0,4168479	668,1717	2,809711	0	711,5496	505,4961	0,4039145	0,4130593	662,1928	3,204736	0	1	708	491						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		708	491	436335	3178356481	
456	13:11:14.987	00:00:00.456	22	727,5327	478,1335	0,6662604	0,417591	668,1717	2,854928	0	715,7742	492,9106	0,4022975	0,4140444	662,1928	3,244158	0	1	722	486						eyetracking_anweisung_ameliekirchmeyer.png	0	1280	1024	0	0	714	476	459	0	Content		722	486	456306	3178376452	
