Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
14	14:12:58.560	00:00:00.014	0	629,8769	450,4278	0,7377765	0,4205394	521,3358	3,025568	0	635,4182	444,2383	0,3941354	0,4293247	519,8714	3,184611	0	0	633	447						No media	0	1280	1024	0	0	629	449	452	0	Content		633	447	14088	4832179101
34	14:12:58.580	00:00:00.033	1	631,1533	445,3513	0,7377505	0,4206158	521,3358	2,99227	0	623,6111	454,8972	0,3942036	0,4293714	519,8714	3,212058	0	0	627	450						No media	0	1280	1024	0	0	629	449	452	0	Content		627	450	33955	4832198968
54	14:12:58.600	00:00:00.053	2	622,2156	456,9666	0,737733	0,4208102	521,3358	2,982466	0	623,6747	457,3586	0,3942132	0,4296527	519,8714	3,170589	0	0	623	457						No media	0	1280	1024	0	0	629	449	452	0	Content		623	457	53802	4832218815
74	14:12:58.620	00:00:00.073	3	628,5383	451,3885	0,737745	0,4212295	521,3358	3,027273	0	632,6301	454,9567	0,3943456	0,4299679	519,8714	3,18006	0	0	631	453						No media	0	1280	1024	0	0	629	449	452	0	Content		631	453	73816	4832238829
94	14:12:58.640	00:00:00.093	4	633,2123	448,9496	0,737675	0,4216117	521,3358	3,033257	0	619,0295	458,7841	0,3942147	0,4305249	519,8714	3,178946	0	0	626	454						No media	0	1280	1024	0	0	629	449	452	0	Content		626	454	93808	4832258821
114	14:12:58.660	00:00:00.113	5	631,3824	451,2012	0,7376838	0,4217015	522,275	3,044485	0	621,5291	458,6304	0,3942229	0,4307172	519,7916	3,177364	0	0	626	455						No media	0	1280	1024	0	0	629	449	452	0	Content		626	455	113677	4832278690
154	14:12:58.700	00:00:00.153	6	638,1796	450,9194	0,7375998	0,421301	522,275	3,077803	0	630,6414	441,8682	0,3943588	0,4306116	519,7916	3,161084	0	0	634	446						No media	0	1280	1024	0	0	629	449	452	0	Content		634	446	153560	4832318573
173	14:12:58.719	00:00:00.173	7	630,7743	441,0664	0,7377392	0,4209151	522,275	3,007143	0	630,7959	458,5634	0,3945138	0,4301524	519,7916	3,183343	0	0	631	450						No media	0	1280	1024	0	0	629	449	452	0	Content		631	450	173445	4832338458
194	14:12:58.740	00:00:00.193	8	625,4872	445,9066	0,7378346	0,4206662	522,275	3,061186	0	627,6472	446,6304	0,3945695	0,4299721	519,7916	3,249204	0	0	627	446						No media	0	1280	1024	0	0	629	449	452	0	Content		627	446	193639	4832358652
213	14:12:58.759	00:00:00.213	9	625,3857	456,117	0,7378468	0,4205942	522,275	3,040402	0	633,787	438,6332	0,39466	0,4299114	519,7916	3,20827	0	0	630	447						No media	0	1280	1024	0	0	629	449	452	0	Content		630	447	213311	4832378324
217	14:12:58.763																				ImageStart	8	0	0	Unbenannt-1.jpg
233	14:12:58.779	00:00:00.233	10	624,084	451,9955	0,7379245	0,4206954	522,5353	3,016905	0	632,39	442,3119	0,3946695	0,4300928	520,2371	3,241191	0	0	628	447						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		628	447	233287	4832398300
253	14:12:58.799	00:00:00.253	11	633,5499	455,7598	0,7377805	0,4210533	522,5353	3,078749	0	632,7549	444,1051	0,3945673	0,4305054	520,2371	3,223063	0	0	633	450						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		633	450	253169	4832418182
273	14:12:58.819	00:00:00.273	12	634,9059	442,6419	0,7377486	0,4214848	522,5353	3,019227	0	627,6281	447,3661	0,3945467	0,4308242	520,2371	3,23179	0	0	631	445						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		631	445	273147	4832438160
293	14:12:58.839	00:00:00.293	13	635,0341	451,2782	0,7377275	0,4216517	522,5353	3,028927	0	628,9779	466,2666	0,394532	0,4310502	520,2371	3,235338	0	0	632	459						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		632	459	293019	4832458032
313	14:12:58.859	00:00:00.313	14	632,432	452,9762	0,737748	0,4216772	522,5353	3,084487	0	629,2491	438,9942	0,3945533	0,4310662	520,2371	3,193276	0	0	631	446						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		631	446	313047	4832478060
333	14:12:58.879	00:00:00.332	15	632,2866	450,0895	0,7380101	0,4215111	521,8699	3,0539	0	628,8894	445,7023	0,3947647	0,4308487	519,9794	3,194529	0	0	631	448						Unbenannt-1.jpg	0	1280	1024	0	0	629	449	452	0	Content		631	448	332898	4832497911
