Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
2	13:21:29.439	00:00:00.002	0	551,9024	499,4683	0,6262128	0,5632893	749,3395	3,218826	0	532,0018	425,8687	0,3905984	0,5760617	757,3976	3,243491	0	0	542	463						No media	0	1280	1024	0	0	565	487	142	0	Content		542	463	2358	4288725688
22	13:21:29.459	00:00:00.022	1	581,512	527,3154	0,6260754	0,5636739	747,6017	3,345899	0	520,5823	485,514	0,3904681	0,5764481	757,1648	3,330857	0	0	551	506						No media	0	1280	1024	0	0	565	487	142	0	Content		551	506	22231	4288745561
42	13:21:29.479	00:00:00.042	2	615,7409	513,7902	0,625954	0,5640209	748,2417	3,461432	0	595,206	545,6542	0,3903491	0,5769207	758,657	3,211464	0	0	605	530						No media	0	1280	1024	0	0	565	487	142	0	Content		605	530	42088	4288765418
62	13:21:29.499	00:00:00.062	3	539,1558	545,2623	0,6258833	0,5642969	749,0654	3,25614	0	623,8719	514,0652	0,3902459	0,5772722	759,2019	3,299702	0	0	582	530						No media	0	1280	1024	0	0	565	487	142	0	Content		582	530	62095	4288785425
102	13:21:29.539	00:00:00.101	4	581,1252	590,183	0,625964	0,5640604	746,3846	3,475809	0	621,5768	382,9179	0,3903385	0,5770253	759,0136	3,218415	0	0	601	487						No media	0	1280	1024	0	0	565	487	142	0	Content		601	487	101975	4288825305
122	13:21:29.559	00:00:00.121	5	548,3094	494,2446	0,6261299	0,5638209	747,574	3,162562	0	530,9645	497,6089	0,3904833	0,5766299	759,0387	3,225701	0	0	540	496						No media	0	1280	1024	0	0	565	487	142	0	Content		540	496	121850	4288845180
142	13:21:29.579	00:00:00.141	6	513,054	418,847	0,6263566	0,5636914	749,7323	3,284144	0	622,2667	430,5274	0,3907078	0,5764236	760,3821	3,271901	0	1	568	425						No media	0	1280	1024	0	0	561	450	239	0	Content		568	425	141841	4288865171
162	13:21:29.599	00:00:00.161	7	551,5245	461,2912	0,6266148	0,5637342	749,7736	3,139761	0	569,9955	513,5876	0,3909675	0,5763961	759,5389	3,152899	0	1	561	487						No media	0	1280	1024	0	0	561	450	239	0	Content		561	487	161748	4288885078
182	13:21:29.619	00:00:00.181	8	550,6303	456,0667	0,6267692	0,5639418	749,6185	3,105538	0	561,6648	539,7233	0,3911543	0,5766154	760,8818	3,276284	0	1	556	498						No media	0	1280	1024	0	0	561	450	239	0	Content		556	498	181694	4288905024
202	13:21:29.639	00:00:00.201	9	505,875	448,0671	0,6268519	0,5641294	748,6891	3,289468	0	592,6194	378,6992	0,3912054	0,5767866	761,7339	3,233788	0	1	549	413						No media	0	1280	1024	0	0	561	450	239	0	Content		549	413	201571	4288924901
222	13:21:29.659	00:00:00.221	10	494,6152	491,5851	0,6268674	0,564078	748,6787	3,275439	0	549,5588	548,9387	0,3912161	0,5767541	762,1233	3,367639	0	1	522	520						No media	0	1280	1024	0	0	561	450	239	0	Content		522	520	221576	4288944906
241	13:21:29.678	00:00:00.241	11	552,016	422,0979	0,6268312	0,563844	749,8962	3,142779	0	557,0092	455,5245	0,3911839	0,5765483	762,6835	3,136927	0	1	555	439						No media	0	1280	1024	0	0	561	450	239	0	Content		555	439	241449	4288964779
261	13:21:29.698	00:00:00.261	12	542,4778	496,7683	0,6267233	0,563409	750,3682	3,229366	0	578,6317	393,9942	0,3910618	0,5762196	762,6824	2,99042	0	1	561	445						No media	0	1280	1024	0	0	561	450	239	0	Content		561	445	261443	4288984773
281	13:21:29.718	00:00:00.281	13	574,1989	396,0309	0,6266264	0,5630708	750,7619	2,98595	0	586,8695	411,0688	0,390966	0,5759168	761,9661	3,199593	0	1	581	404						No media	0	1280	1024	0	0	561	450	239	0	Content		581	404	281311	4289004641
301	13:21:29.738	00:00:00.301	14	560,7247	445,1889	0,6265453	0,5631051	750,7491	3,256995	0	588,0101	443,5678	0,3908761	0,5759361	761,9572	3,190191	0	1	574	444						No media	0	1280	1024	0	0	561	450	239	0	Content		574	444	301191	4289024521
