Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
2	13:25:51.111	00:00:00.001	0	668,7363	429,3481	0,6894373	0,5134767	747,8637	4,425788	0	627,7524	515,4981	0,4485375	0,5241253	751,2258	4,340883	0	0	648	472						No media	0	1280	1024	0	0	644	496	321	0	Content		648	472	1770	4550387886
22	13:25:51.131	00:00:00.021	1	638,2732	468,7145	0,6892868	0,5139275	747,8637	4,342917	0	641,0765	502,0654	0,4483311	0,5245375	751,2258	4,243959	0	0	640	485						No media	0	1280	1024	0	0	644	496	321	0	Content		640	485	21768	4550407884
42	13:25:51.151	00:00:00.041	2	658,4078	465,5231	0,6894621	0,5141141	747,8637	4,23359	0	611,6781	526,9372	0,4484784	0,5246533	751,2258	4,26908	0	0	635	496						No media	0	1280	1024	0	0	644	496	321	0	Content		635	496	41635	4550427751
82	13:25:51.191	00:00:00.081	3	650,5957	459,4608	0,6909817	0,5134852	749,245	4,262455	0	610,1197	526,3741	0,4499161	0,5235165	751,4526	4,295458	0	0	630	493						No media	0	1280	1024	0	0	644	496	321	0	Content		630	493	81526	4550467642
102	13:25:51.211	00:00:00.101	4	683,1647	510,6891	0,6920211	0,5131937	749,245	4,383327	0	616,8804	458,5922	0,4509028	0,52281	751,4526	4,230692	0	0	650	485						No media	0	1280	1024	0	0	644	496	321	0	Content		650	485	101530	4550487646
121	13:25:51.230	00:00:00.121	5	653,991	536,0852	0,6930023	0,5134051	749,245	4,376733	0	674,2887	498,0858	0,4519219	0,5226371	751,4526	4,299451	0	0	664	517						No media	0	1280	1024	0	0	644	496	321	0	Content		664	517	121384	4550507500
141	13:25:51.250	00:00:00.141	6	615,4896	476,243	0,6938034	0,5140722	749,245	4,217439	0	644,2339	515,5107	0,4527617	0,5230228	751,4526	4,153695	0	0	630	496						No media	0	1280	1024	0	0	644	496	321	0	Content		630	496	141394	4550527510
161	13:25:51.270	00:00:00.161	7	646,7914	527,1827	0,6944877	0,5150571	749,245	4,26283	0	640,3328	497,4499	0,4534416	0,5235822	751,4526	4,352039	0	0	644	512						No media	0	1280	1024	0	0	644	496	321	0	Content		644	512	161239	4550547355
181	13:25:51.290	00:00:00.181	8	630,0635	504,1333	0,6950969	0,516043	749,345	4,210214	0	636,7391	505,5133	0,4540013	0,5241263	750,0817	4,313335	0	0	633	505						No media	0	1280	1024	0	0	644	496	321	0	Content		633	505	181112	4550567228
201	13:25:51.310	00:00:00.201	9	662,2012	479,1103	0,6956915	0,5166794	749,345	4,403183	0	620,7573	499,7242	0,4545735	0,5243967	750,0817	4,139401	0	0	641	489						No media	0	1280	1024	0	0	644	496	321	0	Content		641	489	201135	4550587251
