System Properties:
Operating System:	 Microsoft Windows NT 5.1.2600 Service Pack 2
System User Name:	 iView_X
Machine Name:	 TOBIIEYETRACKER

Data properties:

Recording name:	 Rec 02
Recording date:	 19.05.2014
Recording time:	 13:36:06
Recording resolution:	 1280 x 1024

Export date:	 19.05.2014
Export time:	 13:38:19

Participant:	 P02
Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
11	13:36:06.229	00:00:00.010	0	503,8495	538,9108	0,5700532	0,3480387	643,9354	4,105073	0	519,0969	562,1639	0,3218068	0,3586723	643,884	4,058731	0	0	511	551						No media	0	1280	1024	0	0	516	551	549	0	Content		511	551	10975	4669381809	
31	13:36:06.249	00:00:00.030	1	495,0815	544,0613	0,5702099	0,3486292	643,9354	4,102262	0	536,4641	551,0408	0,3220576	0,359193	643,884	4,027521	0	0	516	548						No media	0	1280	1024	0	0	516	551	549	0	Content		516	548	30846	4669401680	
51	13:36:06.269	00:00:00.050	2	507,8191	542,372	0,5704919	0,3492662	643,9354	4,107325	0	528,931	556,0006	0,3222338	0,3595894	643,884	3,964664	0	0	518	549						No media	0	1280	1024	0	0	516	551	549	0	Content		518	549	50840	4669421674	
91	13:36:06.309	00:00:00.090	3	508,8557	571,2524	0,570981	0,3488748	643,9354	4,013379	0	539,148	576,1529	0,3227976	0,3591957	643,884	4,011991	0	0	524	574						No media	0	1280	1024	0	0	516	551	549	0	Content		524	574	90596	4669461430	
111	13:36:06.329	00:00:00.110	4	508,7774	537,3138	0,571013	0,3484137	643,9354	4,105448	0	541,463	592,2413	0,3228098	0,3585925	643,884	4,021554	0	0	525	565						No media	0	1280	1024	0	0	516	551	549	0	Content		525	565	110609	4669481443	
131	13:36:06.349	00:00:00.130	5	510,157	545,1063	0,570829	0,3476957	644,0034	4,073922	0	538,463	602,7559	0,3225524	0,3581731	643,769	4,00077	0	0	524	574						No media	0	1280	1024	0	0	516	551	549	0	Content		524	574	130596	4669501430	
150	13:36:06.368	00:00:00.150	6	498,4066	554,7045	0,5702931	0,3475696	644,0034	4,094142	0	533,0242	548,7054	0,322083	0,3581586	643,769	3,997404	0	0	516	552						No media	0	1280	1024	0	0	516	551	549	0	Content		516	552	150473	4669521307	
170	13:36:06.388	00:00:00.170	7	514,1697	577,5768	0,5698023	0,3477014	644,0034	4,109443	0	538,0387	579,4292	0,3214678	0,3585172	643,769	3,959646	0	0	526	579						No media	0	1280	1024	0	0	516	551	549	0	Content		526	579	170328	4669541162	
190	13:36:06.408	00:00:00.190	8	493,2748	556,733	0,569305	0,3483025	644,0034	4,100995	0	517,9655	566,7687	0,3209174	0,3590533	643,769	3,935418	0	0	506	562						No media	0	1280	1024	0	0	516	551	549	0	Content		506	562	190325	4669561159	
210	13:36:06.428	00:00:00.210	9	506,3677	530,0034	0,5691184	0,3485471	644,0034	4,103459	0	521,0731	560,024	0,3207754	0,3594079	643,769	3,898172	0	0	514	545						No media	0	1280	1024	0	0	516	551	549	0	Content		514	545	210197	4669581031	
