Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
12	13:45:21.699	00:00:00.012	0	-1280	-1024	0,679819	0,3909373	-1	-1	4	-1280	-1024	0,4465722	0,3834387	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	12482	5224856326	
32	13:45:21.719	00:00:00.032	1	-1280	-1024	-1	-1	-1	-1	4	-1280	-1024	-1	-1	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	32354	5224876198	
52	13:45:21.739	00:00:00.052	2	-1280	-1024	0,6783483	0,3914831	-1	-1	4	-1280	-1024	0,4452538	0,3849506	-1	-1	4		0	0						No media	0	1280	1024	0	0				0	Content		0	0	52354	5224896198	
92	13:45:21.779	00:00:00.092	3	1164,952	257,8024	0,6772885	0,3922181	741,1138	3,883526	0	1210,493	163,5724	0,4444529	0,3865787	737,1524	4,208745	0	0	1188	211						No media	0	1280	1024	0	0	1164	219	239	0	Content		1188	211	92100	5224935944	
112	13:45:21.799	00:00:00.112	4	1184,993	224,1688	0,6771089	0,3929697	741,1138	3,925462	0	1170,562	225,0464	0,4443549	0,3875903	737,1524	4,039815	0	0	1178	225						No media	0	1280	1024	0	0	1164	219	239	0	Content		1178	225	112107	5224955951	
132	13:45:21.819	00:00:00.132	5	1183,31	229,4934	0,6772035	0,3935426	741,1138	3,829018	0	1175,439	246,4768	0,4444909	0,3881951	737,1524	4,084271	0	0	1179	238						No media	0	1280	1024	0	0	1164	219	239	0	Content		1179	238	132099	5224975943	
148	13:45:21.835																				InstructionStart	2048	0	0	Instruction Element																	
152	13:45:21.839	00:00:00.151	6	1139,086	209,8689	0,6775684	0,3936371	741,1138	3,803223	0	1174,337	213,2912	0,4448794	0,3885739	737,1524	4,019943	0	0	1157	212						No media	0	1280	1024	0	0	1164	219	239	0	Content		1157	212	151973	5224995817	
172	13:45:21.859	00:00:00.171	7	1148,735	204,9204	0,6779722	0,393295	741,0228	3,776978	0	1178,727	215,0483	0,4453771	0,3883591	737,7537	4,031323	0	0	1164	210						No media	0	1280	1024	0	0	1164	219	239	0	Content		1164	210	171847	5225015691	
192	13:45:21.879	00:00:00.191	8	1160,263	229,2698	0,6784786	0,3926102	741,0228	3,787121	0	1163,036	215,1715	0,4459294	0,387566	737,7537	4,116813	0	0	1162	222						No media	0	1280	1024	0	0	1164	219	239	0	Content		1162	222	191830	5225035674	
