Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
14	14:37:21.326	00:00:00.013	0	589,3342	541,6561	0,6613257	0,3389498	615,4755	3,282963	0	581,3533	596,4539	0,390112	0,3425615	607,8586	3,399513	0	0	585	569						No media	0	1280	1024	0	0	586	584	233	0	Content		585	569	13716	2164051913	
34	14:37:21.346	00:00:00.033	1	582,8503	575,3124	0,661329	0,3391825	615,4755	3,295962	0	585,8491	622,9891	0,3901105	0,3427579	607,8586	3,399511	0	0	584	599						No media	0	1280	1024	0	0	586	584	233	0	Content		584	599	33590	2164071787	
54	14:37:21.366	00:00:00.053	2	583,8756	537,2777	0,661563	0,3394271	615,4755	3,266653	0	583,2406	607,0936	0,3902867	0,3428231	607,8586	3,350341	0	0	584	572						No media	0	1280	1024	0	0	586	584	233	0	Content		584	572	53585	2164091782	
73	14:37:21.385	00:00:00.073	3	589,318	564,3286	0,6620015	0,3393677	615,4755	3,28505	0	586,1422	608,8618	0,3907249	0,3427858	607,8586	3,334998	0	0	588	587						No media	0	1280	1024	0	0	586	584	233	0	Content		588	587	73464	2164111661	
93	14:37:21.405	00:00:00.093	4	589,2988	590,4216	0,6626226	0,3391244	615,4755	3,285977	0	581,1013	598,6723	0,391257	0,3425969	607,8586	3,377414	0	0	585	595						No media	0	1280	1024	0	0	586	584	233	0	Content		585	595	93324	2164131521	
113	14:37:21.425	00:00:00.113	5	588,3769	580,8221	0,6632412	0,3390929	614,6258	3,28253	0	583,0619	592,5388	0,3919101	0,3421332	610,3658	3,360453	0	0	586	587						No media	0	1280	1024	0	0	586	584	233	0	Content		586	587	113341	2164151538	
133	14:37:21.445	00:00:00.133	6	589,7205	578,9851	0,6638824	0,3389338	614,6258	3,331508	0	584,5568	577,7422	0,3925547	0,3418302	610,3658	3,361288	0	0	587	578						No media	0	1280	1024	0	0	586	584	233	0	Content		587	578	133216	2164171413	
153	14:37:21.465	00:00:00.153	7	575,4703	555,8528	0,6643031	0,3388885	614,6258	3,283825	0	588,6441	590,9589	0,3929833	0,3416844	610,3658	3,363098	0	0	582	573						No media	0	1280	1024	0	0	586	584	233	0	Content		582	573	153216	2164191413	
172	14:37:21.484																				InstructionStart	2048	0	0	Instruction Element																	
173	14:37:21.485	00:00:00.173	8	598,2971	563,8533	0,6645912	0,3389793	614,6258	3,291093	0	585,5196	613,7181	0,3932335	0,3417265	610,3658	3,335883	0	0	592	589						No media	0	1280	1024	0	0	586	584	233	0	Content		592	589	173069	2164211266	
193	14:37:21.505	00:00:00.193	9	593,4381	574,5536	0,6646186	0,3394862	614,6258	3,273715	0	583,5134	595,2186	0,3932596	0,341967	610,3658	3,353703	0	0	588	585						No media	0	1280	1024	0	0	586	584	233	0	Content		588	585	193103	2164231300	
213	14:37:21.525	00:00:00.212	10	590,9591	565,2777	0,6645315	0,340016	614,3488	3,271346	0	585,0721	606,9208	0,3931461	0,3426862	608,9063	3,339461	0	0	588	586						No media	0	1280	1024	0	0	586	584	233	0	Content		588	586	212950	2164251147	
233	14:37:21.545	00:00:00.232	11	661,2269	519,3014	0,6633794	0,3398455	614,3488	3,328482	0	668,3753	533,5413	0,39233	0,3426138	608,9063	3,298689	0	1	665	526						No media	0	1280	1024	0	0	651	446	219	0	Content		665	526	232968	2164271165	
253	14:37:21.565	00:00:00.252	12	657,1321	436,8116	0,6630466	0,3391068	614,3488	3,282896	0	659,2194	468,2175	0,3925039	0,3418773	608,9063	3,301551	0	1	658	453						No media	0	1280	1024	0	0	651	446	219	0	Content		658	453	252824	2164291021	
273	14:37:21.585	00:00:00.272	13	646,8682	440,2464	0,6633437	0,3391957	614,3488	3,279194	0	646,094	459,7844	0,3925981	0,3418879	608,9063	3,318014	0	1	646	450						No media	0	1280	1024	0	0	651	446	219	0	Content		646	450	272819	2164311016	
293	14:37:21.605	00:00:00.292	14	636,7704	450,246	0,6635416	0,3391081	614,3488	3,242351	0	648,695	453,9408	0,3927585	0,3418	608,9063	3,294131	0	1	643	452						No media	0	1280	1024	0	0	651	446	219	0	Content		643	452	292694	2164330891	
313	14:37:21.625	00:00:00.312	15	631,4133	452,1422	0,6640354	0,3388496	615,9167	3,23554	0	650,1086	447,205	0,3931381	0,3413775	609,3289	3,301503	0	1	641	450						No media	0	1280	1024	0	0	651	446	219	0	Content		641	450	312694	2164350891	
