Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
11	15:11:52.245	00:00:00.011	0	626,944	291,7263	0,6332671	0,3698316	677,0144	2,661624	0	662,8505	317,1307	0,3840684	0,3530336	659,8647	2,700538	0	0	645	304						No media	0	1280	1024	0	0	648	304	490	0	Content		645	304	11246	4234649293	
31	15:11:52.265	00:00:00.031	1	628,1093	281,6796	0,6333013	0,3698431	677,0144	2,584138	0	669,2953	304,6198	0,3841268	0,3530652	659,8647	2,684606	0	0	649	293						No media	0	1280	1024	0	0	648	304	490	0	Content		649	293	31114	4234669161	
51	15:11:52.285	00:00:00.050	2	631,0798	291,7755	0,6333822	0,3699015	677,0144	2,628182	0	675,0237	322,5874	0,3841644	0,3531413	659,8647	2,643909	0	0	653	307						No media	0	1280	1024	0	0	648	304	490	0	Content		653	307	50992	4234689039	
71	15:11:52.305	00:00:00.070	3	629,3896	294,4051	0,6334305	0,3701313	674,4028	2,593372	0	674,9706	314,0706	0,3842397	0,3532878	662,3124	2,694418	0	0	652	304						No media	0	1280	1024	0	0	648	304	490	0	Content		652	304	70993	4234709040	
91	15:11:52.325	00:00:00.090	4	622,6885	281,6992	0,6333808	0,3702509	674,4028	2,60603	0	661,4707	310,5554	0,3841519	0,3533654	662,3124	2,726231	0	0	642	296						No media	0	1280	1024	0	0	648	304	490	0	Content		642	296	90870	4234728917	
111	15:11:52.345	00:00:00.110	5	625,9659	307,22	0,6332984	0,3704612	674,4028	2,656946	0	664,1858	309,1857	0,3840459	0,3535112	662,3124	2,659174	0	0	645	308						No media	0	1280	1024	0	0	648	304	490	0	Content		645	308	110875	4234748922	
131	15:11:52.365	00:00:00.130	6	635,6501	276,6132	0,6331604	0,3706053	674,4028	2,632866	0	660,9906	308,8368	0,3839012	0,3536025	662,3124	2,659371	0	0	648	293						No media	0	1280	1024	0	0	648	304	490	0	Content		648	293	130888	4234768935	
151	15:11:52.385	00:00:00.150	7	627,5731	284,9902	0,6329355	0,3706834	674,4028	2,633302	0	667,0885	303,5321	0,3837276	0,3538507	662,3124	2,664016	0	0	647	294						No media	0	1280	1024	0	0	648	304	490	0	Content		647	294	150739	4234788786	
171	15:11:52.405	00:00:00.170	8	630,6898	289,6252	0,6327745	0,3707357	674,8261	2,635336	0	666,2476	300,6607	0,3835759	0,3540133	663,119	2,668833	0	0	648	295						No media	0	1280	1024	0	0	648	304	490	0	Content		648	295	170615	4234808662	
191	15:11:52.425	00:00:00.190	9	620,9485	300,1487	0,6326179	0,3707304	674,8261	2,640438	0	667,0605	296,3598	0,3833798	0,3540682	663,119	2,653422	0	0	644	298						No media	0	1280	1024	0	0	648	304	490	0	Content		644	298	190591	4234828638	
210	15:11:52.444	00:00:00.210	10	630,2722	299,1913	0,6325473	0,3707007	674,8261	2,612524	0	647,543	307,602	0,3833117	0,3540034	663,119	2,705464	0	0	639	303						No media	0	1280	1024	0	0	648	304	490	0	Content		639	303	210470	4234848517	
230	15:11:52.464	00:00:00.230	11	630,4576	286,9333	0,6325206	0,3706535	674,8261	2,616131	0	664,629	300,111	0,3832584	0,3539602	663,119	2,702966	0	0	648	294						No media	0	1280	1024	0	0	648	304	490	0	Content		648	294	230481	4234868528	
243	15:11:52.477																				InstructionStart	2048	0	0	Instruction Element																	
250	15:11:52.484	00:00:00.250	12	637,7631	296,6315	0,632508	0,3706585	674,8261	2,657368	0	680,2715	317,3334	0,3832315	0,3539711	663,119	2,753345	0	0	659	307						No media	0	1280	1024	0	0	648	304	490	0	Content		659	307	250330	4234888377	
270	15:11:52.504	00:00:00.270	13	641,8326	290,7262	0,6324765	0,3706263	675,8469	2,665054	0	673,6813	322,8105	0,383194	0,3539587	660,9285	2,759635	0	0	658	307						No media	0	1280	1024	0	0	648	304	490	0	Content		658	307	270471	4234908518	
290	15:11:52.524	00:00:00.290	14	622,8953	309,6534	0,6323723	0,3706714	675,8469	2,720595	0	671,1361	293,996	0,3831556	0,3540924	660,9285	2,715116	0	0	647	302						No media	0	1280	1024	0	0	648	304	490	0	Content		647	302	290212	4234928259	
310	15:11:52.544	00:00:00.310	15	629,4255	309,9284	0,6322562	0,3706931	675,8469	2,71594	0	673,5943	303,4346	0,383056	0,3541796	660,9285	2,720992	0	0	652	307						No media	0	1280	1024	0	0	648	304	490	0	Content		652	307	310224	4234948271	
330	15:11:52.564	00:00:00.330	16	627,8427	309,4678	0,6321583	0,3707727	675,8469	2,720979	0	668,5975	306,6623	0,3829551	0,3542589	660,9285	2,697217	0	0	648	308						No media	0	1280	1024	0	0	648	304	490	0	Content		648	308	330089	4234968136	
350	15:11:52.584	00:00:00.350	17	623,7391	315,3376	0,63206	0,3709621	675,8469	2,670703	0	663,7054	321,7601	0,3828031	0,354411	660,9285	2,718599	0	0	644	319						No media	0	1280	1024	0	0	648	304	490	0	Content		644	319	350098	4234988145	
370	15:11:52.604	00:00:00.369	18	625,8031	322,0679	0,6319938	0,371515	673,0688	2,654884	0	663,2058	327,8479	0,3827674	0,3548276	661,4512	2,717959	0	0	645	325						No media	0	1280	1024	0	0	648	304	490	0	Content		645	325	369946	4235007993	
390	15:11:52.624	00:00:00.389	19	638,7078	319,9353	0,6319838	0,3717233	673,0688	2,722801	0	662,4103	313,7213	0,3827592	0,3551484	661,4512	2,671073	0	0	651	317						No media	0	1280	1024	0	0	648	304	490	0	Content		651	317	389839	4235027886	
410	15:11:52.644	00:00:00.409	20	628,5311	310,5354	0,632092	0,3721538	673,0688	2,694595	0	675,9984	296,5719	0,3829353	0,3553262	661,4512	2,747381	0	0	652	304						No media	0	1280	1024	0	0	648	304	490	0	Content		652	304	409852	4235047899	
430	15:11:52.664	00:00:00.429	21	629,0804	302,2921	0,6322004	0,3725713	673,0688	2,735835	0	657,6138	342,3383	0,3831174	0,3554464	661,4512	2,711501	0	0	643	322						No media	0	1280	1024	0	0	648	304	490	0	Content		643	322	429816	4235067863	
450	15:11:52.684	00:00:00.449	22	612,7585	317,0872	0,6324416	0,3726774	673,0688	2,68574	0	651,8045	312,999	0,3833011	0,3558503	661,4512	2,705372	0	0	632	315						No media	0	1280	1024	0	0	648	304	490	0	Content		632	315	449674	4235087721	
470	15:11:52.704	00:00:00.469	23	610,0707	307,0637	0,6326626	0,3732287	674,2637	2,701164	0	656,2092	306,3604	0,3835925	0,3560889	665,1694	2,713903	0	0	633	307						No media	0	1280	1024	0	0	648	304	490	0	Content		633	307	469719	4235107766	
490	15:11:52.724	00:00:00.489	24	648,428	343,1541	0,6326148	0,3740095	674,2637	2,6902	0	685,8684	380,4205	0,3836016	0,3567566	665,1694	2,823443	0	1	667	362						No media	0	1280	1024	0	0	660	438	140	0	Content		667	362	489552	4235127599	
509	15:11:52.743	00:00:00.509	25	639,9016	435,9919	0,6327019	0,3754387	674,2637	2,778041	0	675,3325	445,6707	0,3836947	0,3581958	665,1694	2,765637	0	1	658	441						No media	0	1280	1024	0	0	660	438	140	0	Content		658	441	509473	4235147520	
529	15:11:52.763	00:00:00.529	26	652,0114	415,1559	0,6327183	0,3755434	674,2637	2,748213	0	677,8436	457,2708	0,3835853	0,358364	665,1694	2,792905	0	1	665	436						No media	0	1280	1024	0	0	660	438	140	0	Content		665	436	529429	4235167476	
549	15:11:52.783	00:00:00.549	27	655,2161	474,3689	0,6325694	0,3757048	674,2637	2,804239	0	666,6531	463,9766	0,3833649	0,3586406	665,1694	2,805004	0	1	661	469						No media	0	1280	1024	0	0	660	438	140	0	Content		661	469	549283	4235187330	
569	15:11:52.803	00:00:00.569	28	653,1287	479,4431	0,6323799	0,3760199	674,9315	2,805713	0	667,8269	474,8643	0,3831548	0,3588837	662,7012	2,771408	0	1	660	477						No media	0	1280	1024	0	0	660	438	140	0	Content		660	477	569329	4235207376	
589	15:11:52.823	00:00:00.589	29	652,3217	420,4862	0,6321531	0,3760442	674,9315	2,765648	0	676,0752	432,0296	0,3828975	0,3590006	662,7012	2,768033	0	1	664	426						No media	0	1280	1024	0	0	660	438	140	0	Content		664	426	589286	4235227333	
609	15:11:52.843	00:00:00.609	30	645,7129	417,8904	0,6319579	0,3760478	674,9315	2,822988	0	659,9636	430,9491	0,382634	0,3590126	662,7012	2,826214	0	1	653	424						No media	0	1280	1024	0	0	660	438	140	0	Content		653	424	609157	4235247204	
629	15:11:52.863	00:00:00.629	31	579,0851	455,6452	0,6323212	0,376417	674,9315	2,764919	0	609,0162	489,7241	0,3830438	0,3592649	662,7012	2,857658	0	2	594	473						No media	0	1280	1024	0	0	588	483	239	0	Content		594	473	629069	4235267116	
649	15:11:52.883	00:00:00.649	32	567,5793	467,2242	0,6323188	0,3764838	674,9315	2,789451	0	606,0062	493,9699	0,3831521	0,3594613	662,7012	2,844381	0	2	587	481						No media	0	1280	1024	0	0	588	483	239	0	Content		587	481	649055	4235287102	
669	15:11:52.903	00:00:00.668	33	558,2516	478,8963	0,6322505	0,376466	675,2458	2,80685	0	607,0615	496,5679	0,3831042	0,3594811	663,5886	2,864619	0	2	583	488						No media	0	1280	1024	0	0	588	483	239	0	Content		583	488	668923	4235306970	
689	15:11:52.923	00:00:00.688	34	566,0038	454,3899	0,6321047	0,3763109	675,2458	2,873455	0	612,0689	489,728	0,3829158	0,3592458	663,5886	2,85109	0	2	589	472						No media	0	1280	1024	0	0	588	483	239	0	Content		589	472	688944	4235326991	
709	15:11:52.943	00:00:00.708	35	566,8755	444,0988	0,6318524	0,3761446	675,2458	2,80704	0	591,1923	466,9212	0,3825125	0,3591312	663,5886	2,819172	0	2	579	456						No media	0	1280	1024	0	0	588	483	239	0	Content		579	456	708841	4235346888	
729	15:11:52.963	00:00:00.728	36	581,2878	504,4649	0,6316001	0,3760028	675,2458	2,858972	0	600,5567	488,5465	0,3823356	0,3591321	663,5886	2,871739	0	2	591	497						No media	0	1280	1024	0	0	588	483	239	0	Content		591	497	728672	4235366719	
749	15:11:52.983	00:00:00.748	37	579,637	463,7864	0,6313758	0,3760324	675,2458	2,819723	0	611,0615	500,1163	0,382111	0,3591579	663,5886	2,866205	0	2	595	482						No media	0	1280	1024	0	0	588	483	239	0	Content		595	482	748653	4235386700	
769	15:11:53.003	00:00:00.768	38	578,9398	479,2064	0,6311152	0,3761145	672,6492	2,830696	0	602,8324	496,9735	0,3818847	0,3593229	662,557	2,860344	0	2	591	488						No media	0	1280	1024	0	0	588	483	239	0	Content		591	488	768683	4235406730	
789	15:11:53.023	00:00:00.788	39	588,5409	467,433	0,6308261	0,3761394	672,6492	2,800017	0	606,7808	541,6104	0,3816755	0,3592341	662,557	2,943187	0	2	598	505						No media	0	1280	1024	0	0	588	483	239	0	Content		598	505	788537	4235426584	
