Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
19	14:52:29.925	00:00:00.019	0	614,9792	418,5874	0,6931676	0,2706819	615,3139	3,729231	0	634,2474	432,8291	0,3841224	0,2757417	614,7503	3,538319	0	0	625	426						No media	0	1280	1024	0	0	627	430	537	0	Content		625	426	19150	3210096322	
39	14:52:29.945	00:00:00.039	1	615,4884	415,3746	0,6929606	0,2703409	614,7781	3,729552	0	634,756	419,9105	0,3839699	0,2756251	616,7657	3,539235	0	0	625	418						No media	0	1280	1024	0	0	627	430	537	0	Content		625	418	39025	3210116197	
59	14:52:29.965	00:00:00.058	2	627,79	424,3812	0,6927756	0,2697872	614,7781	3,704449	0	628,4348	414,4572	0,3837097	0,2753803	616,7657	3,489199	0	0	628	419						No media	0	1280	1024	0	0	627	430	537	0	Content		628	419	58908	3210136080	
79	14:52:29.985	00:00:00.078	3	621,3506	416,2927	0,6923262	0,2694559	614,7781	3,718681	0	628,6525	428,2216	0,3833318	0,2751915	616,7657	3,551907	0	0	625	422						No media	0	1280	1024	0	0	627	430	537	0	Content		625	422	78901	3210156073	
99	14:52:30.005	00:00:00.098	4	619,6232	439,8638	0,6919289	0,2689767	614,7781	3,7231	0	640,4246	426,0193	0,3829577	0,2751138	616,7657	3,533773	0	0	630	433						No media	0	1280	1024	0	0	627	430	537	0	Content		630	433	98904	3210176076	
119	14:52:30.025	00:00:00.118	5	623,6093	434,9093	0,6914727	0,268861	614,7781	3,722712	0	633,4479	417,9613	0,3825291	0,2752926	616,7657	3,559613	0	0	629	426						No media	0	1280	1024	0	0	627	430	537	0	Content		629	426	118787	3210195959	
139	14:52:30.045	00:00:00.138	6	623,1765	441,1848	0,6910065	0,2692195	613,2911	3,713647	0	635,0923	424,6728	0,3820467	0,275585	616,47	3,554494	0	0	629	433						No media	0	1280	1024	0	0	627	430	537	0	Content		629	433	138753	3210215925	
159	14:52:30.065	00:00:00.158	7	628,1349	436,935	0,6906393	0,2695425	613,2911	3,717618	0	638,8253	422,9944	0,38168	0,2759696	616,47	3,536718	0	0	633	430						No media	0	1280	1024	0	0	627	430	537	0	Content		633	430	158649	3210235821	
179	14:52:30.085	00:00:00.178	8	616,7776	426,34	0,6903181	0,269747	613,2911	3,756564	0	628,3831	424,1615	0,3813673	0,2764052	616,47	3,582204	0	0	623	425						No media	0	1280	1024	0	0	627	430	537	0	Content		623	425	178513	3210255685	
199	14:52:30.105	00:00:00.198	9	609,0186	431,7407	0,6901845	0,2698271	613,2911	3,733485	0	632,1371	426,6415	0,3812669	0,2765395	616,47	3,607517	0	0	621	429						No media	0	1280	1024	0	0	627	430	537	0	Content		621	429	198515	3210275687	
