Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
5	15:58:23.395	00:00:00.004	0	606,7211	462,1934	0,6801248	0,6275867	675,7735	3,858578	0	634,1874	438,0444	0,4182397	0,5978933	675,1871	4,060666	0	0	620	450						No media	0	1280	1024	0	0	619	446	424	0	Content		620	450	4871	1444995396	
25	15:58:23.415	00:00:00.024	1	598,9615	428,716	0,6803597	0,6281523	675,7735	3,94247	0	636,7623	421,5877	0,4186231	0,5984131	675,1871	4,080012	0	0	618	425						No media	0	1280	1024	0	0	619	446	424	0	Content		618	425	24899	1445015424	
45	15:58:23.435	00:00:00.044	2	599,772	449,8965	0,6808538	0,6283683	675,7735	3,887454	0	639,6809	422,6445	0,4191238	0,5985705	675,1871	4,087487	0	0	620	436						No media	0	1280	1024	0	0	619	446	424	0	Content		620	436	44746	1445035271	
85	15:58:23.475	00:00:00.084	3	591,4916	415,9282	0,6821605	0,6292356	675,7735	3,943652	0	652,6254	436,0728	0,4205986	0,5987844	675,1871	4,168067	0	0	622	426						No media	0	1280	1024	0	0	619	446	424	0	Content		622	426	84621	1445075146	
104	15:58:23.494	00:00:00.104	4	588,4419	418,572	0,6828511	0,6293675	675,6025	3,924747	0	657,2047	423,6102	0,4213743	0,5987915	677,1904	4,200574	0	0	623	421						No media	0	1280	1024	0	0	619	446	424	0	Content		623	421	104497	1445095022	
125	15:58:23.515	00:00:00.124	5	600,4491	456,8477	0,6835824	0,6293305	675,6025	3,991165	0	645,1603	434,6357	0,4222042	0,5985158	677,1904	4,170401	0	0	623	446						No media	0	1280	1024	0	0	619	446	424	0	Content		623	446	124580	1445115105	
133	15:58:23.523																				InstructionStart	2048	0	0	Instruction Element																	
144	15:58:23.534	00:00:00.144	6	599,0621	439,4266	0,6842989	0,6293501	675,6025	3,943435	0	654,9033	433,0219	0,4229845	0,5983581	677,1904	4,198299	0	0	627	436						No media	0	1280	1024	0	0	619	446	424	0	Content		627	436	144493	1445135018	
164	15:58:23.554	00:00:00.164	7	617,9181	482,0785	0,6850868	0,6293704	675,6025	3,991285	0	627,7152	437,82	0,4238344	0,5980614	677,1904	4,19691	0	0	623	460						No media	0	1280	1024	0	0	619	446	424	0	Content		623	460	164384	1445154909	
184	15:58:23.574	00:00:00.184	8	584,5872	446,7976	0,6859479	0,6295441	675,6025	3,959766	0	643,1229	445,4648	0,4247601	0,5978748	677,1904	4,188254	0	0	614	446						No media	0	1280	1024	0	0	619	446	424	0	Content		614	446	184232	1445174757	
204	15:58:23.594	00:00:00.204	9	586,0148	445,4704	0,6868514	0,6299996	676,9293	3,98872	0	640,0232	448,8273	0,4258103	0,5980266	676,374	4,179564	0	0	613	447						No media	0	1280	1024	0	0	619	446	424	0	Content		613	447	204217	1445194742	
224	15:58:23.614	00:00:00.224	10	595,3969	454,8809	0,6879259	0,6303684	676,9293	3,857714	0	644,5425	428,0949	0,4269607	0,5982971	676,374	4,198681	0	0	620	441						No media	0	1280	1024	0	0	619	446	424	0	Content		620	441	224108	1445214633	
244	15:58:23.634	00:00:00.244	11	597,8889	451,8155	0,6890014	0,6311134	676,9293	3,972978	0	637,3475	429,2238	0,4281727	0,5985196	676,374	4,17848	0	0	618	441						No media	0	1280	1024	0	0	619	446	424	0	Content		618	441	244089	1445234614	
264	15:58:23.654	00:00:00.264	12	596,2313	434,0599	0,6902415	0,6317106	676,9293	3,911747	0	639,7202	454,0893	0,429487	0,5987506	676,374	4,173244	0	0	618	444						No media	0	1280	1024	0	0	619	446	424	0	Content		618	444	264106	1445254631	
284	15:58:23.674	00:00:00.283	13	595,0781	458,6464	0,6914362	0,6322266	676,9293	3,93438	0	647,4175	441,4368	0,4308333	0,5992116	676,374	4,155752	0	0	621	450						No media	0	1280	1024	0	0	619	446	424	0	Content		621	450	283958	1445274483	
304	15:58:23.694	00:00:00.303	14	594,1667	450,918	0,692698	0,6327463	678,0953	3,907601	0	647,2504	446,3093	0,432207	0,5992897	677,7271	4,154451	0	0	621	449						No media	0	1280	1024	0	0	619	446	424	0	Content		621	449	303888	1445294413	
324	15:58:23.714	00:00:00.323	15	590,0751	471,0958	0,6940457	0,6330898	678,0953	3,892019	0	639,1517	421,2161	0,4337379	0,5993301	677,7271	4,151791	0	0	615	446						No media	0	1280	1024	0	0	619	446	424	0	Content		615	446	323897	1445314422	
344	15:58:23.734	00:00:00.343	16	589,6727	460,3106	0,6955361	0,6331744	678,0953	3,904948	0	629,0686	454,7834	0,4353582	0,5988005	677,7271	4,103249	0	0	609	458						No media	0	1280	1024	0	0	619	446	424	0	Content		609	458	343707	1445334232	
364	15:58:23.754	00:00:00.363	17	582,1111	435,3022	0,69723	0,6332062	678,0953	3,920065	0	635,3205	442,73	0,4371431	0,5984271	677,7271	4,114	0	0	609	439						No media	0	1280	1024	0	0	619	446	424	0	Content		609	439	363751	1445354276	
384	15:58:23.774	00:00:00.383	18	588,1548	466,5919	0,6989707	0,6335644	678,0953	3,935649	0	646,5913	463,3465	0,4391996	0,5982158	677,7271	4,129348	0	0	617	465						No media	0	1280	1024	0	0	619	446	424	0	Content		617	465	383628	1445374153	
404	15:58:23.794	00:00:00.403	19	585,8823	453,0786	0,7011743	0,6343446	678,4631	3,9516	0	643,4686	460,4167	0,4421644	0,5982985	678,5826	4,110907	0	0	615	457						No media	0	1280	1024	0	0	619	446	424	0	Content		615	457	403620	1445394145	
424	15:58:23.814	00:00:00.423	20	541,7682	533,0993	0,7032954	0,6348726	678,4631	3,899318	0	585,2632	520,9114	0,4442748	0,5979503	678,5826	4,185854	0	1	564	527						No media	0	1280	1024	0	0	532	536	299	0	Content		564	527	423508	1445414033	
443	15:58:23.833	00:00:00.443	21	529,3832	527,8679	0,7054821	0,6351839	678,4631	3,948642	0	580,2227	543,7062	0,446558	0,5977171	678,5826	4,1704	0	1	555	536						No media	0	1280	1024	0	0	532	536	299	0	Content		555	536	443457	1445433982	
463	15:58:23.853	00:00:00.463	22	541,7009	523,9283	0,707788	0,6358858	678,4631	3,934853	0	573,2507	539,2675	0,4489504	0,5976493	678,5826	4,16595	0	1	557	532						No media	0	1280	1024	0	0	532	536	299	0	Content		557	532	463351	1445453876	
483	15:58:23.873	00:00:00.483	23	552,4152	539,2603	0,7102292	0,636382	678,4631	3,956281	0	579,444	542,7382	0,4514726	0,5976786	678,5826	4,177393	0	1	566	541						No media	0	1280	1024	0	0	532	536	299	0	Content		566	541	483329	1445473854	
503	15:58:23.893	00:00:00.503	24	549,6099	534,4722	0,7127693	0,6369362	679,4962	3,960055	0	578,4341	539,3354	0,4541204	0,5976899	679,3298	4,172287	0	1	564	537						No media	0	1280	1024	0	0	532	536	299	0	Content		564	537	503263	1445493788	
523	15:58:23.913	00:00:00.523	25	536,5764	553,6257	0,7155042	0,6371726	679,4962	3,923518	0	566,8114	544,5549	0,4569546	0,5975007	679,3298	4,149866	0	1	552	549						No media	0	1280	1024	0	0	532	536	299	0	Content		552	549	523111	1445513636	
543	15:58:23.933	00:00:00.543	26	541,4026	549,0786	0,7184789	0,6374078	679,4962	3,978455	0	557,8161	528,7841	0,4600339	0,5969004	679,3298	4,223186	0	1	550	539						No media	0	1280	1024	0	0	532	536	299	0	Content		550	539	543067	1445533592	
563	15:58:23.953	00:00:00.563	27	513,8418	551,4991	0,7219138	0,6375291	679,4962	3,974392	0	554,4041	505,2534	0,4636286	0,5962636	679,3298	4,212549	0	1	534	528						No media	0	1280	1024	0	0	532	536	299	0	Content		534	528	563141	1445553666	
