Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
3	15:46:12.924	00:00:00.002	0	641,8041	430,7658	0,7346777	0,4949638	605,1227	3,290408	0	645,6371	465,8324	0,4291059	0,5062696	608,1904	3,197096	0	0	644	448						No media	0	1280	1024	0	0	646	454	362	0	Content		644	448	2904	1442348719	
23	15:46:12.944	00:00:00.022	1	644,3348	438,7859	0,7348693	0,494866	604,8544	3,271593	0	643,1379	468,5391	0,429259	0,5062004	607,4943	3,189744	0	0	644	454						No media	0	1280	1024	0	0	646	454	362	0	Content		644	454	22910	1442368725	
43	15:46:12.964	00:00:00.042	2	649,9924	433,7321	0,7350434	0,494618	604,8544	3,282496	0	638,8871	486,0344	0,4294457	0,5056341	607,4943	3,212691	0	0	644	460						No media	0	1280	1024	0	0	646	454	362	0	Content		644	460	42901	1442388716	
63	15:46:12.984	00:00:00.062	3	655,1122	436,7994	0,7353597	0,4939836	604,8544	3,222346	0	642,4466	477,3652	0,4296799	0,5052268	607,4943	3,187699	0	0	649	457						No media	0	1280	1024	0	0	646	454	362	0	Content		649	457	62751	1442408566	
83	15:46:13.004	00:00:00.082	4	649,4827	439,3834	0,7356247	0,4935218	604,8544	3,260699	0	641,8453	467,7591	0,4299852	0,504498	607,4943	3,213186	0	0	646	454						No media	0	1280	1024	0	0	646	454	362	0	Content		646	454	82614	1442428429	
103	15:46:13.024	00:00:00.102	5	642,7111	437,8267	0,7359865	0,492854	604,8544	3,274353	0	641,3425	469,527	0,4303191	0,50405	607,4943	3,213644	0	0	642	454						No media	0	1280	1024	0	0	646	454	362	0	Content		642	454	102632	1442448447	
122	15:46:13.043	00:00:00.122	6	643,2284	438,6286	0,7363366	0,4925961	604,9367	3,253614	0	640,4281	466,6155	0,4306388	0,5035433	609,6886	3,218761	0	0	642	453						No media	0	1280	1024	0	0	646	454	362	0	Content		642	453	122483	1442468298	
143	15:46:13.064	00:00:00.142	7	648,7427	455,553	0,7365674	0,4921703	604,9367	3,187623	0	642,4063	469,2593	0,4309101	0,5033569	609,6886	3,269787	0	0	646	462						No media	0	1280	1024	0	0	646	454	362	0	Content		646	462	142511	1442488326	
162	15:46:13.083	00:00:00.162	8	639,3669	445,6496	0,7367784	0,4920206	604,9367	3,272337	0	640,8396	455,6196	0,4310891	0,5032077	609,6886	3,206734	0	0	640	451						No media	0	1280	1024	0	0	646	454	362	0	Content		640	451	162371	1442508186	
182	15:46:13.103	00:00:00.182	9	644,4185	451,5685	0,7368323	0,4918074	604,9367	3,287578	0	653,5133	460,9063	0,4311694	0,5028975	609,6886	3,256197	0	0	649	456						No media	0	1280	1024	0	0	646	454	362	0	Content		649	456	182369	1442528184	
202	15:46:13.123	00:00:00.202	10	648,4372	441,9417	0,73683	0,4914992	604,9367	3,323055	0	639,3697	471,1854	0,4311188	0,5024836	609,6886	3,229927	0	0	644	457						No media	0	1280	1024	0	0	646	454	362	0	Content		644	457	202226	1442548041	
222	15:46:13.143	00:00:00.222	11	647,7847	434,3331	0,7367288	0,4911489	608,7	3,365085	0	643,3701	461,7344	0,431085	0,502332	611,4812	3,263365	0	0	646	448						No media	0	1280	1024	0	0	646	454	362	0	Content		646	448	222225	1442568040	
242	15:46:13.163	00:00:00.242	12	644,3971	448,8204	0,7365737	0,4909358	608,7	3,236211	0	644,2606	456,884	0,4309838	0,5020959	611,4812	3,254206	0	0	644	453						No media	0	1280	1024	0	0	646	454	362	0	Content		644	453	242124	1442587939	
255	15:46:13.176																				InstructionStart	2048	0	0	Instruction Element																	
262	15:46:13.183	00:00:00.262	13	652,2918	430,338	0,7364818	0,4908799	608,7	3,257501	0	637,6158	460,8632	0,4308916	0,5019374	611,4812	3,228628	0	0	645	446						No media	0	1280	1024	0	0	646	454	362	0	Content		645	446	262090	1442607905	
282	15:46:13.203	00:00:00.281	14	659,0693	445,7995	0,7364145	0,4908903	608,7	3,308271	0	636,6252	468,4952	0,4308529	0,501914	611,4812	3,216223	0	0	648	457						No media	0	1280	1024	0	0	646	454	362	0	Content		648	457	281994	1442627809	
302	15:46:13.223	00:00:00.301	15	654,9366	448,427	0,7363978	0,4909246	608,7	3,257158	0	641,2567	465,0209	0,4308368	0,5019249	611,4812	3,259679	0	0	648	457						No media	0	1280	1024	0	0	646	454	362	0	Content		648	457	301977	1442647792	
322	15:46:13.243	00:00:00.321	16	653,6312	450,5596	0,7364282	0,4910356	605,4432	3,257091	0	636,9846	476,3336	0,4308183	0,5021383	608,1464	3,227197	0	0	645	463						No media	0	1280	1024	0	0	646	454	362	0	Content		645	463	321860	1442667675	
