Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
8	14:54:05.820	00:00:00.008	0	615,6222	405,5347	0,6871873	0,2561898	608,4046	3,382878	0	638,4855	440,6017	0,3757595	0,2645092	612,6879	3,274101	0	0	627	423						No media	0	1280	1024	0	0	626	424	387	0	Content		627	423	8242	3305967449	
28	14:54:05.840	00:00:00.028	1	624,1703	415,8997	0,6868571	0,2563002	608,4046	3,455315	0	621,4852	429,8188	0,3753347	0,2648776	612,6879	3,273217	0	0	623	423						No media	0	1280	1024	0	0	626	424	387	0	Content		623	423	28240	3305987447	
48	14:54:05.860	00:00:00.048	2	622,4352	409,4076	0,6863976	0,2563477	609,7521	3,442907	0	619,0618	430,2037	0,3749475	0,2651457	614,7333	3,28286	0	0	621	420						No media	0	1280	1024	0	0	626	424	387	0	Content		621	420	48102	3306007309	
88	14:54:05.900	00:00:00.087	3	620,6073	408,8634	0,6857005	0,2558097	609,7521	3,454182	0	633,7096	421,7321	0,374218	0,2649802	614,7333	3,256985	0	0	627	415						No media	0	1280	1024	0	0	626	424	387	0	Content		627	415	87988	3306047195	
108	14:54:05.920	00:00:00.107	4	622,0328	406,8833	0,6854313	0,2553587	609,7521	3,486002	0	621,4086	417,4136	0,3739475	0,2647423	614,7333	3,261439	0	0	622	412						No media	0	1280	1024	0	0	626	424	387	0	Content		622	412	107854	3306067061	
128	14:54:05.940	00:00:00.127	5	615,4131	405,5197	0,6852865	0,2551362	609,7521	3,448545	0	618,9315	449,123	0,3738634	0,2644719	614,7333	3,265339	0	0	617	427						No media	0	1280	1024	0	0	626	424	387	0	Content		617	427	127852	3306087059	
148	14:54:05.960	00:00:00.147	6	620,6782	404,2679	0,6852286	0,2551655	609,7521	3,436545	0	633,0535	431,6054	0,3738747	0,2645108	614,7333	3,291255	0	0	627	418						No media	0	1280	1024	0	0	626	424	387	0	Content		627	418	147735	3306106942	
168	14:54:05.980	00:00:00.167	7	618,3999	408,1789	0,6852562	0,2554359	607,6072	3,429956	0	627,0416	441,928	0,3739315	0,2648559	612,7608	3,287116	0	0	623	425						No media	0	1280	1024	0	0	626	424	387	0	Content		623	425	167732	3306126939	
188	14:54:06.000	00:00:00.187	8	617,5469	393,2373	0,6852152	0,2561241	607,6072	3,398169	0	631,5269	447,0043	0,3739399	0,2654091	612,7608	3,245652	0	0	625	420						No media	0	1280	1024	0	0	626	424	387	0	Content		625	420	187596	3306146803	
196	14:54:06.008																				ImageStart	8	0	0	02_Page 1 Copy.png																	
