Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
3	16:00:18.221	00:00:00.002	0	511,2133	333,797	0,6642586	0,5800668	657,6404	2,67783	0	516,6096	306,7097	0,3842254	0,5784239	661,1765	2,908907	0	0	514	320						No media	0	1280	1024	0	0	516	326	780	0	Content		514	320	2682	180177447	
23	16:00:18.241	00:00:00.022	1	503,3784	328,825	0,6641391	0,5799793	657,6404	2,730495	0	508,6186	306,9104	0,3840713	0,5783824	661,1765	2,919307	0	0	506	318						No media	0	1280	1024	0	0	516	326	780	0	Content		506	318	22663	180197428	
42	16:00:18.260	00:00:00.042	2	504,1476	347,0986	0,6640865	0,5800197	657,6404	2,756528	0	519,4308	324,2355	0,3840201	0,5784016	661,1765	2,84486	0	0	512	336						No media	0	1280	1024	0	0	516	326	780	0	Content		512	336	42488	180217253	
62	16:00:18.280	00:00:00.062	3	503,0245	345,5103	0,6641149	0,5801811	658,6525	2,722487	0	518,0596	332,3991	0,3840688	0,578594	660,07	2,865207	0	0	511	339						No media	0	1280	1024	0	0	516	326	780	0	Content		511	339	62491	180237256	
82	16:00:18.300	00:00:00.082	4	513,9947	329,931	0,6643369	0,5802673	658,6525	2,762445	0	524,5833	313,3204	0,3842456	0,5785413	660,07	2,956904	0	0	519	322						No media	0	1280	1024	0	0	516	326	780	0	Content		519	322	82408	180257173	
102	16:00:18.320	00:00:00.102	5	508,3891	333,9983	0,6646328	0,5801398	658,6525	2,691605	0	522,4077	309,4544	0,3846379	0,5783902	660,07	2,819704	0	0	515	322						No media	0	1280	1024	0	0	516	326	780	0	Content		515	322	102348	180277113	
122	16:00:18.340	00:00:00.122	6	518,1615	332,7178	0,6650299	0,5799005	658,6525	2,739834	0	522,826	287,7788	0,3849505	0,5781403	660,07	2,796288	0	0	520	310						No media	0	1280	1024	0	0	516	326	780	0	Content		520	310	122275	180297040	
142	16:00:18.360	00:00:00.142	7	506,8364	329,6236	0,6653567	0,5795034	658,6525	2,702519	0	537,3313	311,2782	0,3853534	0,5774796	660,07	2,907151	0	0	522	320						No media	0	1280	1024	0	0	516	326	780	0	Content		522	320	142269	180317034	
162	16:00:18.380	00:00:00.162	8	512,5699	332,6357	0,6655743	0,5791888	658,0704	2,719909	0	536,7124	298,0523	0,3855968	0,5771459	662,718	2,839514	0	0	525	315						No media	0	1280	1024	0	0	516	326	780	0	Content		525	315	162144	180336909	
182	16:00:18.400	00:00:00.182	9	513,2664	327,2184	0,66579	0,5789784	658,0704	2,816149	0	535,6655	339,4905	0,3858351	0,5767218	662,718	2,920055	0	0	524	333						No media	0	1280	1024	0	0	516	326	780	0	Content		524	333	182143	180356908	
202	16:00:18.420	00:00:00.202	10	521,8221	346,301	0,6658835	0,5789201	658,0704	2,788608	0	518,1173	304,9097	0,3859097	0,5767128	662,718	2,862624	0	0	520	326						No media	0	1280	1024	0	0	516	326	780	0	Content		520	326	202009	180376774	
222	16:00:18.440	00:00:00.221	11	515,5077	328,1596	0,6658052	0,5788462	658,0704	2,795356	0	523,1774	310,959	0,3858177	0,5767558	662,718	2,913336	0	0	519	320						No media	0	1280	1024	0	0	516	326	780	0	Content		519	320	221891	180396656	
242	16:00:18.460	00:00:00.241	12	499,2466	349,8864	0,6655889	0,5784861	658,0704	2,793644	0	518,1349	333,7339	0,3855954	0,5765786	662,718	2,863258	0	0	509	342						No media	0	1280	1024	0	0	516	326	780	0	Content		509	342	241891	180416656	
262	16:00:18.480	00:00:00.261	13	501,6315	345,2508	0,6653905	0,5782452	657,952	2,791447	0	520,9578	320,4049	0,3854575	0,5764182	661,9171	2,87701	0	0	511	333						No media	0	1280	1024	0	0	516	326	780	0	Content		511	333	261871	180436636	
282	16:00:18.500	00:00:00.281	14	515,2745	346,0662	0,6653534	0,5779112	657,952	2,774971	0	516,688	290,2155	0,3853237	0,5762525	661,9171	2,84057	0	0	516	318						No media	0	1280	1024	0	0	516	326	780	0	Content		516	318	281747	180456512	
302	16:00:18.520	00:00:00.301	15	506,6874	334,9366	0,665257	0,5774868	657,952	2,799745	0	530,4352	339,4662	0,3852668	0,5757463	661,9171	2,877201	0	0	519	337						No media	0	1280	1024	0	0	516	326	780	0	Content		519	337	301699	180476464	
322	16:00:18.540	00:00:00.321	16	512,1072	319,7585	0,6651434	0,5773939	657,952	2,83342	0	526,8757	321,0653	0,3851451	0,5755872	661,9171	2,929607	0	0	519	320						No media	0	1280	1024	0	0	516	326	780	0	Content		519	320	321634	180496399	
341	16:00:18.559	00:00:00.341	17	511,8666	344,8725	0,6650262	0,5773858	657,952	2,818906	0	514,3613	319,9885	0,3849701	0,5755967	661,9171	2,929247	0	0	513	332						No media	0	1280	1024	0	0	516	326	780	0	Content		513	332	341435	180516200	
362	16:00:18.580	00:00:00.361	18	510,3253	331,3268	0,6647735	0,5775357	659,7092	2,843837	0	524,6469	325,1765	0,384763	0,5759553	659,4749	2,918445	0	0	517	328						No media	0	1280	1024	0	0	516	326	780	0	Content		517	328	361503	180536268	
381	16:00:18.599	00:00:00.381	19	515,1918	354,2744	0,6646024	0,5779152	659,7092	2,800107	0	530,6238	300,8704	0,3846128	0,5763794	659,4749	2,932812	0	0	523	328						No media	0	1280	1024	0	0	516	326	780	0	Content		523	328	381325	180556090	
401	16:00:18.619	00:00:00.401	20	511,3052	322,2758	0,6644619	0,578218	659,7092	2,85108	0	510,0221	308,9262	0,3845032	0,5765814	659,4749	2,885453	0	0	511	316						No media	0	1280	1024	0	0	516	326	780	0	Content		511	316	401315	180576080	
421	16:00:18.639	00:00:00.421	21	505,0383	342,8185	0,66444	0,5782988	659,7092	2,846843	0	521,3625	308,5617	0,384529	0,5766612	659,4749	2,886484	0	0	513	326						No media	0	1280	1024	0	0	516	326	780	0	Content		513	326	421196	180595961	
441	16:00:18.659	00:00:00.441	22	510,0314	339,5825	0,6645393	0,5781295	659,7092	2,793723	0	531,8981	315,5067	0,3846358	0,5764705	659,4749	2,906224	0	0	521	328						No media	0	1280	1024	0	0	516	326	780	0	Content		521	328	441193	180615958	
461	16:00:18.679	00:00:00.461	23	509,0677	340,5233	0,6645597	0,5780519	657,913	2,810207	0	527,1699	312,9435	0,3846901	0,5762898	661,1726	2,887751	0	0	518	327						No media	0	1280	1024	0	0	516	326	780	0	Content		518	327	461070	180635835	
473	16:00:18.691																				InstructionStart	2048	0	0	Instruction Element																	
481	16:00:18.699	00:00:00.481	24	517,649	338,4847	0,6646537	0,5776542	657,913	2,846761	0	528,546	322,3401	0,3846847	0,5759459	661,1726	2,863237	0	0	523	330						No media	0	1280	1024	0	0	516	326	780	0	Content		523	330	481056	180655821	
501	16:00:18.719	00:00:00.500	25	514,3674	337,7478	0,664614	0,5774859	657,913	2,789662	0	515,6426	336,2263	0,3846789	0,5755922	661,1726	2,885087	0	0	515	337						No media	0	1280	1024	0	0	516	326	780	0	Content		515	337	500919	180675684	
521	16:00:18.739	00:00:00.520	26	513,1489	326,5758	0,6644956	0,5774128	657,913	2,834366	0	523,025	305,329	0,3845994	0,5755416	661,1726	2,907032	0	0	518	316						No media	0	1280	1024	0	0	516	326	780	0	Content		518	316	520979	180695744	
541	16:00:18.759	00:00:00.540	27	506,8426	341,0774	0,6641535	0,57738	657,913	2,82402	0	518,693	332,8662	0,3842652	0,575556	661,1726	2,917847	0	0	513	337						No media	0	1280	1024	0	0	516	326	780	0	Content		513	337	540791	180715556	
561	16:00:18.779	00:00:00.560	28	501,6712	330,1188	0,663857	0,57727	661,3694	2,818986	0	516,86	320,5728	0,3839651	0,5756076	661,4567	2,929877	0	0	509	325						No media	0	1280	1024	0	0	516	326	780	0	Content		509	325	560787	180735552	
581	16:00:18.799	00:00:00.580	29	496,9293	317,7659	0,6633717	0,5772664	661,3694	2,803135	0	518,1317	340,0092	0,3835285	0,5756742	661,4567	2,919927	0	0	508	329						No media	0	1280	1024	0	0	516	326	780	0	Content		508	329	580659	180755424	
601	16:00:18.819	00:00:00.600	30	521,8004	336,8266	0,663049	0,5773759	661,3694	2,845629	0	526,9138	314,744	0,3831856	0,5761818	661,4567	2,904899	0	0	524	326						No media	0	1280	1024	0	0	516	326	780	0	Content		524	326	600679	180775444	
621	16:00:18.839	00:00:00.620	31	506,5604	364,4888	0,662543	0,577638	661,3694	2,804209	0	515,2969	333,3954	0,3826964	0,5764751	661,4567	2,928491	0	0	511	349						No media	0	1280	1024	0	0	516	326	780	0	Content		511	349	620551	180795316	
641	16:00:18.859	00:00:00.640	32	505,591	315,5715	0,6621946	0,5780955	661,3694	2,868723	0	533,9684	331,7821	0,3823999	0,5769015	661,4567	2,840779	0	0	520	324						No media	0	1280	1024	0	0	516	326	780	0	Content		520	324	640529	180815294	
660	16:00:18.878	00:00:00.660	33	508,9781	332,8812	0,6619867	0,5781104	660,933	2,860789	0	533,5323	325,7356	0,3821284	0,5770687	663,0579	2,839193	0	0	521	329						No media	0	1280	1024	0	0	516	326	780	0	Content		521	329	660429	180835194	
680	16:00:18.898	00:00:00.680	34	511,6588	332,6216	0,6618533	0,5778281	660,933	2,769332	0	523,525	333,3201	0,3819482	0,5765623	663,0579	2,962379	0	0	518	333						No media	0	1280	1024	0	0	516	326	780	0	Content		518	333	680271	180855036	
700	16:00:18.918	00:00:00.700	35	506,6294	364,7794	0,6618798	0,5773022	660,933	2,814569	0	517,2186	299,3714	0,3820143	0,5761274	663,0579	2,923371	0	0	512	332						No media	0	1280	1024	0	0	516	326	780	0	Content		512	332	700278	180875043	
