Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
10	15:43:12.166	00:00:00.009	0	1035,423	270,0377	0,720358	0,2777576	675,9902	2,889472	0	1077,685	318,78	0,4462582	0,2737434	670,6484	2,982123	0	0	1057	294						No media	0	1280	1024	0	0	1047	295	49	0	Content		1057	294	9515	1261588860	
29	15:43:12.185	00:00:00.029	1	1029,837	293,7392	0,7204356	0,278379	675,9902	2,812631	0	1079,92	302,2657	0,4462518	0,2745044	670,6484	2,922061	0	0	1055	298						No media	0	1280	1024	0	0	1047	295	49	0	Content		1055	298	29475	1261608820	
49	15:43:12.205	00:00:00.049	2	1106,668	279,0356	0,7199941	0,27908	675,9902	2,851819	0	1126,188	334,3354	0,4458837	0,2752434	670,6484	2,925825	0	1	1116	307						No media	0	1280	1024	0	0	1157	325	199	0	Content		1116	307	49382	1261628727	
69	15:43:12.225	00:00:00.069	3	1132,441	279,2879	0,7195706	0,2792902	675,9902	2,912571	0	1163,194	337,8581	0,4456986	0,2755401	670,6484	2,98118	0	1	1148	309						No media	0	1280	1024	0	0	1157	325	199	0	Content		1148	309	69215	1261648560	
89	15:43:12.245	00:00:00.089	4	1156,447	280,8942	0,7198624	0,2790416	675,3854	2,883377	0	1180,266	351,4633	0,4458404	0,2755449	666,8475	2,935838	0	1	1168	316						No media	0	1280	1024	0	0	1157	325	199	0	Content		1168	316	89213	1261668558	
109	15:43:12.265	00:00:00.109	5	1147,26	321,1019	0,7199427	0,2784757	675,3854	2,819818	0	1170,746	342,4714	0,4458513	0,2753327	666,8475	2,869446	0	1	1159	332						No media	0	1280	1024	0	0	1157	325	199	0	Content		1159	332	109100	1261688445	
129	15:43:12.285	00:00:00.129	6	1149,189	295,3217	0,7199829	0,2782938	675,3854	2,788193	0	1164,766	364,0965	0,4458462	0,2749009	666,8475	2,947702	0	1	1157	330						No media	0	1280	1024	0	0	1157	325	199	0	Content		1157	330	129104	1261708449	
149	15:43:12.305	00:00:00.148	7	1128,224	299,3049	0,7199857	0,2781547	675,3854	2,839156	0	1173,717	355,7303	0,4458305	0,2747697	666,8475	2,894418	0	1	1151	328						No media	0	1280	1024	0	0	1157	325	199	0	Content		1151	328	148977	1261728322	
165	15:43:12.321																				InstructionStart	2048	0	0	Instruction Element																	
169	15:43:12.325	00:00:00.168	8	1135,222	297,2943	0,7200356	0,2782447	675,3854	2,807566	0	1187,188	354,1694	0,4458414	0,2749587	666,8475	2,923516	0	1	1161	326						No media	0	1280	1024	0	0	1157	325	199	0	Content		1161	326	168977	1261748322	
189	15:43:12.345	00:00:00.188	9	1133,412	296,4897	0,7201754	0,2784413	676,3669	2,807413	0	1189,343	352,9053	0,4460316	0,2752101	667,0207	2,89842	0	1	1161	325						No media	0	1280	1024	0	0	1157	325	199	0	Content		1161	325	188845	1261768190	
209	15:43:12.365	00:00:00.208	10	1154,342	297,08	0,720425	0,2786784	676,3669	2,773235	0	1196,788	338,4673	0,4463419	0,27538	667,0207	2,868677	0	1	1176	318						No media	0	1280	1024	0	0	1157	325	199	0	Content		1176	318	208733	1261788078	
