Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
1	15:45:00.485	00:00:00.000	0	630,5165	463,8724	0,696508	0,3225923	563,1492	2,994617	0	624,2418	476,4808	0,3647574	0,3310231	561,351	3,222754	0	0	627	470						No media	0	1280	1024	0	0	620	472	379	0	Content		627	470	620	642089683	
21	15:45:00.505	00:00:00.020	1	625,263	467,4928	0,6966352	0,3223937	563,1492	2,951405	0	612,5922	476,8212	0,3648464	0,3304774	561,351	3,238995	0	0	619	472						No media	0	1280	1024	0	0	620	472	379	0	Content		619	472	20620	642109683	
40	15:45:00.524	00:00:00.040	2	627,7773	475,6196	0,6966829	0,3223277	563,1492	2,959479	0	615,7443	479,9341	0,3649338	0,3303577	561,351	3,267189	0	0	622	478						No media	0	1280	1024	0	0	620	472	379	0	Content		622	478	40486	642129549	
60	15:45:00.544	00:00:00.060	3	627,8901	472,381	0,6966397	0,3224995	564,5671	2,974731	0	613,9078	482,4879	0,3648891	0,3304946	560,6294	3,26476	0	0	621	477						No media	0	1280	1024	0	0	620	472	379	0	Content		621	477	60357	642149420	
80	15:45:00.564	00:00:00.080	4	621,8913	463,5481	0,6965101	0,3228076	564,5671	2,997984	0	615,4958	461,362	0,3647932	0,3309831	560,6294	3,25309	0	0	619	462						No media	0	1280	1024	0	0	620	472	379	0	Content		619	462	80334	642169397	
100	15:45:00.584	00:00:00.100	5	631,6745	462,308	0,6963939	0,3234284	564,5671	2,966048	0	610,9297	487,5605	0,3646462	0,3313925	560,6294	3,207422	0	0	621	475						No media	0	1280	1024	0	0	620	472	379	0	Content		621	475	100196	642189259	
120	15:45:00.604	00:00:00.120	6	629,3579	474,8443	0,6962479	0,3237317	564,5671	2,971567	0	625,5338	474,7276	0,3645492	0,3320615	560,6294	3,245554	0	0	627	475						No media	0	1280	1024	0	0	620	472	379	0	Content		627	475	120218	642209281	
140	15:45:00.624	00:00:00.140	7	624,5839	459,9455	0,6961594	0,3240761	564,5671	2,991323	0	627,2301	480,453	0,3644812	0,3322705	560,6294	3,250112	0	0	626	470						No media	0	1280	1024	0	0	620	472	379	0	Content		626	470	140068	642229131	
160	15:45:00.644	00:00:00.160	8	628,9738	465,8008	0,6961756	0,3241801	562,7818	2,967137	0	628,8563	472,1517	0,3644422	0,3323149	561,3126	3,240351	0	0	629	469						No media	0	1280	1024	0	0	620	472	379	0	Content		629	469	160099	642249162	
180	15:45:00.664	00:00:00.179	9	627,561	460,3376	0,6962163	0,3238074	562,7818	2,958274	0	616,1918	477,3028	0,3645028	0,332065	561,3126	3,208876	0	0	622	469						No media	0	1280	1024	0	0	620	472	379	0	Content		622	469	179938	642269001	
200	15:45:00.684	00:00:00.199	10	625,2167	465,6465	0,696381	0,3234892	562,7818	2,976311	0	610,753	503,7826	0,3646085	0,3314429	561,3126	3,183205	0	0	618	485						No media	0	1280	1024	0	0	620	472	379	0	Content		618	485	199979	642289042	
220	15:45:00.704	00:00:00.219	11	629,6136	464,5499	0,6965278	0,3230613	562,7818	2,975169	0	609,1155	460,767	0,3647736	0,3311408	561,3126	3,18709	0	0	619	463						No media	0	1280	1024	0	0	620	472	379	0	Content		619	463	219812	642308875	
240	15:45:00.724	00:00:00.239	12	626,4648	465,4964	0,6966865	0,322753	562,7818	2,974755	0	613,2852	470,4875	0,3649604	0,3308274	561,3126	3,235338	0	0	620	468						No media	0	1280	1024	0	0	620	472	379	0	Content		620	468	239832	642328895	
260	15:45:00.744	00:00:00.259	13	628,0306	463,2028	0,6968402	0,3227464	563,7943	2,979481	0	609,5123	472,5738	0,3651322	0,3308802	561,1721	3,224903	0	0	619	468						No media	0	1280	1024	0	0	620	472	379	0	Content		619	468	259731	642348794	
277	15:45:00.761																				InstructionStart	2048	0	0	Instruction Element																	
280	15:45:00.764	00:00:00.279	14	624,3737	474,519	0,6969067	0,3228709	563,7943	3,028229	0	614,1232	480,0414	0,3651804	0,3311172	561,1721	3,164	0	0	619	477						No media	0	1280	1024	0	0	620	472	379	0	Content		619	477	279688	642368751	
300	15:45:00.784	00:00:00.299	15	631,9356	470,953	0,6968919	0,3232291	563,7943	2,979611	0	612,5159	485,202	0,3651966	0,3313785	561,1721	3,184877	0	0	622	478						No media	0	1280	1024	0	0	620	472	379	0	Content		622	478	299598	642388661	
