Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
10239	14:56:20.942	00:00:10.238	513	-1280	-1024	0,3834773	0,3403799	-1	-1	4	1012,737	453,4056	0,3834773	0,3403799	678,054	2,882572	0	15	1013	453						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		1013	453	10238851	3441083964
10259	14:56:20.962	00:00:10.258	514	960,0707	497,8242	0,6674071	0,3525636	690,9593	2,897344	0	1012,724	454,5256	0,3833583	0,3402141	678,054	2,958667	0	15	986	476						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		986	476	10258733	3441103846
10279	14:56:20.982	00:00:10.278	515	953,2843	514,2742	0,6673387	0,3525193	690,9593	2,949421	0	993,7967	456,5106	0,383178	0,340223	678,054	2,812637	0	15	974	485						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		974	485	10278711	3441123824
10299	14:56:21.002	00:00:10.298	516	957,8696	508,0121	0,6672605	0,3525883	694,1713	2,962688	0	982,3644	456,2703	0,3830157	0,3403391	678,3961	2,816063	0	15	970	482						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		970	482	10298576	3441143689
10319	14:56:21.022	00:00:10.318	517	950,6274	474,6699	0,6672308	0,3524939	694,1713	2,908997	0	964,9186	499,6548	0,3828975	0,3403155	678,3961	2,896375	0	15	958	487						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		958	487	10318578	3441163691
10338	14:56:21.041	00:00:10.338	518	981,139	500,5728	0,6671267	0,3525523	694,1713	2,965405	0	983,658	484,3744	0,382783	0,3403953	678,3961	2,918636	0	15	982	492						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		982	492	10338475	3441183588
10358	14:56:21.061	00:00:10.358	519	973,0598	475,9227	0,6670419	0,3526511	694,1713	3,003371	0	954,7657	492,4206	0,3826883	0,3405811	678,3961	2,836794	0	15	964	484						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		964	484	10358442	3441203555
10378	14:56:21.081	00:00:10.378	520	948,3589	461,0757	0,6669727	0,3528408	694,1713	2,916711	0	964,2529	472,4225	0,3826302	0,3406573	678,3961	2,970107	0	15	956	467						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		956	467	10378374	3441223487
10398	14:56:21.101	00:00:10.398	521	957,8121	467,092	0,6670253	0,352993	694,0665	2,954617	0	963,8533	472,891	0,3826105	0,3407014	677,8752	2,964718	0	15	961	470						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		961	470	10398307	3441243420
10418	14:56:21.121	00:00:10.418	522	967,0214	480,7844	0,6670561	0,3530689	694,0665	2,96902	0	989,2576	440,8363	0,3825987	0,3407766	677,8752	3,075694	0	15	978	461						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		978	461	10418208	3441263321
10438	14:56:21.141	00:00:10.438	523	952,9172	487,7756	0,6671119	0,3531598	694,0665	2,943917	0	963,9253	491,3022	0,3826546	0,3408092	677,8752	3,256229	0	15	958	490						01_Page 1.png	0	1280	1024	0	0	964	484	239	0	Content		958	490	10438207	3441283320
10458	14:56:21.161	00:00:10.458	524	774,7819	540,5422	0,6681287	0,3533561	694,0665	3,172168	0	826,2137	542,044	0,3837064	0,3407699	677,8752	3,338905	0	16	800	541						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		800	541	10458090	3441303203
10478	14:56:21.181	00:00:10.478	525	635,0123	508,0402	0,669777	0,353446	694,0665	2,916375	0	635,2165	474,1862	0,3858021	0,3407912	677,8752	3,014874	0	16	635	491						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		635	491	10478113	3441323226
10498	14:56:21.201	00:00:10.497	526	557,2662	565,9216	0,6700672	0,3533228	673,3196	2,896975	0	564,1796	472,7744	0,3860923	0,3406679	682,6975	3,14221	0	16	561	519						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		561	519	10497940	3441343053
10518	14:56:21.221	00:00:10.517	527	616,6747	506,043	0,6701142	0,3533854	675,6107	2,896429	0	642,7542	508,0527	0,3861356	0,340454	682,6975	2,778531	0	16	630	507						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		630	507	10517946	3441363059
10538	14:56:21.241	00:00:10.537	528	635,5909	508,2244	0,6702104	0,3532695	675,6321	2,833061	0	635,2889	530,7321	0,3862049	0,3401488	682,6975	2,867408	0	16	635	519						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		635	519	10537813	3441382926
10558	14:56:21.261	00:00:10.557	529	647,3535	510,812	0,6703181	0,3530786	675,6154	2,996132	0	641,0012	520,2545	0,3862531	0,340022	682,6975	2,766093	0	16	644	516						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		644	516	10557815	3441402928
10578	14:56:21.281	00:00:10.577	530	648,9788	485,9795	0,6704521	0,3531287	677,6	3,119902	0	629,3757	533,8568	0,3862937	0,339996	682,6975	2,739659	0	16	639	510						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		639	510	10577720	3441422833
10598	14:56:21.301	00:00:10.597	531	652,917	480,3004	0,6705761	0,3532543	680,8677	3,161595	0	628,1096	535,5468	0,3863053	0,3401017	680,5483	2,747139	0	16	641	508						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		641	508	10597679	3441442792
10618	14:56:21.321	00:00:10.617	532	653,4964	530,6887	0,6707356	0,3533562	680,8677	2,966915	0	627,5396	508,6455	0,3864278	0,3400239	680,5483	2,777178	0	16	641	520						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		641	520	10617525	3441462638
10638	14:56:21.341	00:00:10.637	533	637,2993	542,5912	0,6707883	0,353402	680,8677	2,994743	0	619,7632	505,2921	0,3864713	0,3401575	680,5483	2,859657	0	16	629	524						01_Page 1.png	0	1280	1024	0	0	635	517	199	0	Content		629	524	10637540	3441482653
10657	14:56:21.360	00:00:10.657	534	558,4321	525,4472	0,6711965	0,3535694	680,8677	2,998244	0	612,5869	508,5486	0,386984	0,3404417	680,5483	2,848396	0	17	586	517						01_Page 1.png	0	1280	1024	0	0	477	506	438	0	Content		586	517	10657417	3441502530
