Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp
233	14:56:10.936	00:00:00.233	11	522,0429	457,0572	0,6652388	0,3512911	680,6943	2,795733	0	550,39	456,5046	0,3804873	0,3417536	678,9596	2,729354	0	1	536	457						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		536	457	233164	3431078277
253	14:56:10.956	00:00:00.253	12	536,3703	445,1596	0,6652417	0,3513153	680,6943	2,724866	0	561,3683	466,0974	0,3804703	0,3417646	678,9596	2,742791	0	1	549	456						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		549	456	253143	3431098256
273	14:56:10.976	00:00:00.273	13	534,246	448,2134	0,665222	0,3514044	682,1154	2,741884	0	559,0339	467,5363	0,3802879	0,3418624	679,0221	2,756473	0	1	547	458						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		547	458	273061	3431118174
293	14:56:10.996	00:00:00.293	14	543,0721	495,8182	0,6651168	0,3514448	682,1154	2,770426	0	541,3616	485,3632	0,3800824	0,341871	679,0221	2,672107	0	1	542	491						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		542	491	293007	3431138120
313	14:56:11.016	00:00:00.312	15	555,5189	479,0198	0,6649907	0,3514715	682,1154	2,766651	0	538,5398	463,9913	0,3800085	0,3418492	679,0221	2,699627	0	1	547	472						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		547	472	312892	3431158005
333	14:56:11.036	00:00:00.332	16	550,3128	472,4578	0,664926	0,351447	682,1154	2,76099	0	543,8927	465,457	0,3799446	0,3418444	679,0221	2,722695	0	1	547	469						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		547	469	332910	3431178023
353	14:56:11.056	00:00:00.352	17	538,3979	463,7741	0,6648893	0,3513134	682,1154	2,766859	0	548,0031	466,9423	0,3799551	0,3417889	679,0221	2,636596	0	1	543	465						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		543	465	352852	3431197965
373	14:56:11.076	00:00:00.372	18	535,6819	459,1216	0,6649489	0,3512995	680,866	2,760143	0	548,8975	466,6924	0,3799435	0,341709	679,4758	2,654879	0	1	542	463						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		542	463	372750	3431217863
393	14:56:11.096	00:00:00.392	19	554,3898	509,306	0,664903	0,3512871	680,866	2,772852	0	558,4177	459,1787	0,3799765	0,3417693	679,4758	2,762135	0	1	556	484						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		556	484	392601	3431237714
413	14:56:11.116	00:00:00.412	20	533,8663	485,5253	0,6648081	0,3513184	680,866	2,76405	0	552,5522	464,3285	0,379959	0,3418111	679,4758	2,720478	0	1	543	475						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		543	475	412586	3431257699
