Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	
14	14:56:10.717	00:00:00.013	0	764,4318	765,8301	0,6625542	0,3541467	688,3152	2,889075	0	758,2047	737,2504	0,377445	0,3448613	679,9596	2,664096	0	0	761	752						No media	0	1280	1024	0	0	758	729	34	0	Content		761	752	13927	3430859040	
34	14:56:10.737	00:00:00.033	1	616,3931	609,2651	0,6633602	0,3527341	688,3152	2,827062	0	650,0178	624,9425	0,3786819	0,3438637	679,9596	2,777465	0	1	633	617						No media	0	1280	1024	0	0	543	482	738	0	Content		633	617	33806	3430878919	
54	14:56:10.757	00:00:00.053	2	512,6396	412,8123	0,663874	0,3516187	688,3152	2,863665	0	566,0888	460,1794	0,3800385	0,3426943	679,9596	2,752336	0	1	539	436						No media	0	1280	1024	0	0	543	482	738	0	Content		539	436	53793	3430898906	
74	14:56:10.777	00:00:00.073	3	465,0429	369,4709	0,663947	0,351688	678,2595	2,823372	0	519,7204	423,5846	0,3799675	0,3424438	678,6855	2,768465	0	1	492	397						No media	0	1280	1024	0	0	543	482	738	0	Content		492	397	73660	3430918773	
94	14:56:10.797	00:00:00.093	4	511,8774	459,9453	0,6639771	0,3514787	678,2595	2,7289	0	540,4841	450,9966	0,3798006	0,3421325	678,6855	2,661375	0	1	526	455						No media	0	1280	1024	0	0	543	482	738	0	Content		526	455	93677	3430938790	
114	14:56:10.817	00:00:00.113	5	534,105	480,9369	0,6639796	0,3513699	678,2595	2,669127	0	535,2247	508,8219	0,379632	0,3420143	678,6855	2,69848	0	1	535	495						No media	0	1280	1024	0	0	543	482	738	0	Content		535	495	113675	3430958788	
134	14:56:10.837	00:00:00.133	6	522,7449	482,4115	0,6641005	0,3513039	678,2595	2,743533	0	538,8005	460,9875	0,3795694	0,3419499	678,6855	2,751504	0	1	531	472						No media	0	1280	1024	0	0	543	482	738	0	Content		531	472	133575	3430978688	
154	14:56:10.857	00:00:00.153	7	539,0627	452,5218	0,6643745	0,3512661	678,2595	2,811092	0	547,4106	453,5449	0,3797081	0,3419121	678,6855	2,713886	0	1	543	453						No media	0	1280	1024	0	0	543	482	738	0	Content		543	453	153551	3430998664	
173	14:56:10.876	00:00:00.173	8	537,8195	457,5272	0,6645722	0,3512729	680,6943	2,8164	0	543,7333	470,2473	0,3798877	0,3419297	678,9596	2,737765	0	1	541	464						No media	0	1280	1024	0	0	543	482	738	0	Content		541	464	173424	3431018537	
193	14:56:10.896	00:00:00.193	9	544,477	452,4609	0,6648446	0,3512844	680,6943	2,75095	0	548,0326	479,5301	0,380082	0,3418106	678,9596	2,687424	0	1	546	466						No media	0	1280	1024	0	0	543	482	738	0	Content		546	466	193430	3431038543	
213	14:56:10.916	00:00:00.213	10	522,6797	474,1067	0,6651598	0,3513812	680,6943	2,760834	0	536,3347	458,994	0,3802946	0,341789	678,9596	2,684986	0	1	530	467						No media	0	1280	1024	0	0	543	482	738	0	Content		530	467	213280	3431058393	
223	14:56:10.926																				ImageStart	8	0	0	02_Page 1 Copy.png																	
233	14:56:10.936	00:00:00.233	11	522,0429	457,0572	0,6652388	0,3512911	680,6943	2,795733	0	550,39	456,5046	0,3804873	0,3417536	678,9596	2,729354	0	1	536	457						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		536	457	233164	3431078277	
253	14:56:10.956	00:00:00.253	12	536,3703	445,1596	0,6652417	0,3513153	680,6943	2,724866	0	561,3683	466,0974	0,3804703	0,3417646	678,9596	2,742791	0	1	549	456						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		549	456	253143	3431098256	
273	14:56:10.976	00:00:00.273	13	534,246	448,2134	0,665222	0,3514044	682,1154	2,741884	0	559,0339	467,5363	0,3802879	0,3418624	679,0221	2,756473	0	1	547	458						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		547	458	273061	3431118174	
293	14:56:10.996	00:00:00.293	14	543,0721	495,8182	0,6651168	0,3514448	682,1154	2,770426	0	541,3616	485,3632	0,3800824	0,341871	679,0221	2,672107	0	1	542	491						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		542	491	293007	3431138120	
313	14:56:11.016	00:00:00.312	15	555,5189	479,0198	0,6649907	0,3514715	682,1154	2,766651	0	538,5398	463,9913	0,3800085	0,3418492	679,0221	2,699627	0	1	547	472						02_Page 1 Copy.png	0	1280	1024	0	0	543	482	738	0	Content		547	472	312892	3431158005	
